Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,118.69,114.38,114.97,118.01,460.0
2018-10-29,124.29,118.01,118.01,121.71,727.0
2018-10-26,121.71,119.81,121.71,123.83,659.0
2018-10-25,123.83,117.81,123.83,121.23,535.0
2018-10-24,122.55,120.75,121.23,118.82,25.0
2018-10-23,121.8,118.79,118.82,121.85,1599.0
2018-10-22,122.34,121.85,121.85,122.11,22.0
2018-10-19,123.7,121.03,122.11,121.52,160.0
2018-10-18,123.99,121.52,121.52,123.41,11.0
2018-10-17,123.48,122.3,123.41,122.36,237.0
2018-10-16,122.88,118.61,122.36,119.3,186.0
2018-10-15,121.24,119.3,119.3,120.09,5199.0
2018-10-12,122.07,115.5,120.09,118.07,581.0
2018-10-11,118.07,112.0,118.07,118.06,2492.0
2018-10-10,124.49,118.06,118.06,124.55,942.0
2018-10-09,124.55,123.21,124.55,123.01,45.0
2018-10-08,126.2,123.01,123.01,126.59,349.0
2018-10-05,128.07,126.59,126.59,127.4,83.0
2018-10-04,130.0,127.17,127.4,130.1,1167.0
2018-10-02,130.9,129.56,130.1,130.61,217.0
2018-10-01,130.93,129.88,130.61,128.79,181.0
2018-09-28,129.39,128.62,128.79,128.81,0.0
2018-09-27,128.82,127.8,128.81,127.62,90.0
2018-09-26,128.02,127.12,127.62,127.09,168.0
2018-09-25,127.24,126.82,127.09,126.98,253.0
2018-09-24,127.76,126.3,126.98,127.47,104.0
2018-09-21,127.75,126.83,127.47,126.32,24.0
2018-09-20,126.32,125.55,126.32,126.21,0.0
2018-09-19,126.96,126.21,126.21,126.26,15.0
2018-09-18,126.26,124.58,126.26,125.6,47.0
2018-09-17,127.32,125.06,125.6,127.14,533.0
2018-09-14,127.14,126.2,127.14,126.21,346.0
2018-09-13,126.9,125.94,126.21,126.03,312.0
2018-09-12,126.14,124.99,126.03,125.48,716.0
2018-09-11,125.48,124.06,125.48,123.67,225.0
2018-09-10,124.28,123.67,123.67,124.05,70.0
2018-09-07,124.48,123.75,124.05,123.98,110.0
2018-09-06,123.98,122.64,123.98,122.55,122.0
2018-09-05,127.93,122.55,122.55,127.55,123.0
2018-09-04,128.06,126.97,127.55,127.61,191.0
2018-09-03,128.0,126.49,127.61,126.43,185.0
2018-08-31,126.88,125.36,126.43,126.25,214.0
2018-08-30,126.29,125.11,126.25,125.65,291.0
2018-08-29,125.91,124.66,125.65,124.0,440.0
2018-08-28,124.95,124.0,124.0,124.85,90.0
2018-08-27,125.2,124.21,124.85,123.7,90.0
2018-08-24,124.0,122.56,123.7,121.82,224.0
2018-08-23,122.74,121.64,121.82,121.89,85.0
2018-08-22,122.46,119.47,121.89,121.7,118.0
2018-08-21,122.78,121.7,121.7,123.38,81.0
2018-08-20,124.53,123.31,123.38,123.83,704.0
2018-08-16,124.08,123.2,123.87,123.49,337.0
2018-08-15,124.39,123.05,123.49,123.95,401.0
2018-08-14,123.95,123.15,123.95,123.13,277.0
2018-08-13,123.24,122.25,123.13,122.53,102.0
2018-08-09,121.62,121.15,121.34,121.09,255.0
2018-08-08,121.43,120.41,121.09,120.94,196.0
2018-08-07,121.23,120.85,120.94,120.63,245.0
2018-08-06,121.49,120.43,120.63,119.83,671.0
2018-08-03,120.54,119.52,119.83,118.84,385.0
2018-08-02,118.91,118.16,118.84,118.46,0.0
2018-08-01,118.46,117.12,118.46,116.77,0.0
2018-07-31,117.37,115.9,116.77,116.81,1311.0
2018-07-30,120.7,115.83,116.81,120.57,173.0
2018-07-27,122.72,119.95,120.57,122.4,407.0
2018-07-26,122.4,120.01,122.4,121.43,1068.0
2018-07-25,121.44,119.45,121.43,119.66,187.0
2018-07-24,121.44,119.55,119.66,119.75,78.0
2018-07-23,120.54,119.75,119.75,120.39,39.0
2018-07-20,120.75,119.7,120.39,121.0,656.0
2018-07-19,121.89,120.71,121.0,120.68,70.0
2018-07-18,120.98,119.74,120.68,119.53,696.0
2018-07-17,119.79,117.41,119.53,119.38,420.0
2018-07-16,119.75,119.25,119.38,119.06,825.0
2018-07-13,120.69,118.74,119.06,119.71,371.0
2018-07-12,119.77,118.65,119.71,118.55,140.0
2018-07-11,118.55,115.03,118.55,116.87,66.0
2018-07-10,116.87,115.51,116.87,115.18,24.0
2018-07-09,115.18,114.2,115.18,113.74,89.0
2018-07-06,114.1,113.03,113.74,112.9,0.0
2018-07-05,112.9,112.6,112.9,112.73,0.0
2018-07-04,112.73,112.56,112.73,112.59,40.0
2018-07-03,114.49,112.59,112.59,113.5,148.0
2018-07-02,114.1,113.3,113.5,114.61,87.0
2018-06-29,114.61,114.61,114.61,114.02,0.0
2018-06-28,114.02,113.47,114.02,113.83,65.0
2018-06-27,115.01,112.04,113.83,113.43,40.0
2018-06-26,113.68,112.16,113.43,110.65,20.0
2018-06-25,116.0,110.65,110.65,115.92,100.0
2018-06-22,116.21,115.6,115.92,116.63,420.0
2018-06-21,117.85,116.2,116.63,117.09,114.0
2018-06-20,117.53,117.09,117.09,116.2,130.0
2018-06-19,117.0,115.62,116.2,117.38,160.0
2018-06-18,117.38,115.65,117.38,116.19,194.0
2018-06-15,116.5,115.61,116.19,116.17,192.0
2018-06-14,116.42,113.51,116.17,114.96,59.0
2018-06-13,115.2,114.6,114.96,114.19,355.0
2018-06-12,114.19,113.24,114.19,114.04,124.0
2018-06-11,114.28,113.74,114.04,114.39,0.0
2018-06-08,114.39,112.88,114.39,113.38,625.0
2018-06-07,115.4,113.34,113.38,114.93,100.0
2018-06-06,115.29,113.69,114.93,113.53,1296.0
2018-06-05,114.49,113.5,113.53,114.1,98.0
2018-06-04,114.1,112.26,114.1,112.75,213.0
2018-06-01,113.74,111.8,112.75,112.13,1030.0
2018-05-31,112.35,111.45,112.13,111.94,100.0
2018-05-30,112.14,111.3,111.94,112.49,76.0
2018-05-29,113.5,111.75,112.49,114.1,109.0
2018-05-28,114.1,112.51,114.1,112.33,25.0
2018-05-25,113.9,112.33,112.33,112.12,193.0
2018-05-24,112.88,111.99,112.12,112.3,110.0
2018-05-23,112.3,110.02,112.3,111.2,616.0
2018-05-22,111.7,110.3,111.2,110.22,215.0
2018-05-18,110.87,109.96,110.22,110.24,160.0
2018-05-17,110.64,110.19,110.24,111.25,0.0
2018-05-16,111.25,110.4,111.25,110.49,30.0
2018-05-15,110.69,109.51,110.49,110.0,212.0
2018-05-14,110.55,110.0,110.0,110.24,850.0
2018-05-11,110.37,108.95,110.24,109.84,125.0
2018-05-10,110.61,109.84,109.84,110.09,5.0
2018-05-09,110.09,109.23,110.09,108.99,5.0
2018-05-08,109.04,108.18,108.99,108.27,0.0
2018-05-07,108.69,107.61,108.27,106.32,442.0
2018-05-04,107.19,105.92,106.32,106.08,280.0
2018-05-03,106.08,104.78,106.08,106.19,10.0
2018-05-02,106.39,105.65,106.19,105.62,50.0
2018-04-30,105.85,104.14,105.62,103.71,5440.0
2018-04-27,104.76,103.71,103.71,105.2,59.0
2018-04-26,105.2,101.81,105.2,99.24,200.0
2018-04-25,99.24,98.16,99.24,99.01,0.0
2018-04-24,102.08,99.01,99.01,101.81,28.0
2018-04-23,102.0,101.02,101.81,100.66,0.0
2018-04-20,101.41,100.43,100.66,99.97,0.0
2018-04-19,100.67,99.97,99.97,100.62,0.0
2018-04-18,100.62,99.6,100.62,100.41,0.0
2018-04-17,100.41,99.26,100.41,98.58,8.0
2018-04-16,99.02,98.23,98.58,98.82,4.0
2018-04-13,98.9,98.11,98.82,98.23,35.0
2018-04-12,98.53,97.35,98.23,97.64,30.0
2018-04-11,97.64,96.45,97.64,97.62,126.0
2018-04-10,98.24,97.01,97.62,97.24,320.0
2018-04-09,97.24,96.5,97.24,97.74,120.0
2018-04-06,97.74,96.0,97.74,99.01,0.0
2018-04-05,99.11,97.88,99.01,95.99,0.0
2018-04-04,96.54,95.99,95.99,96.09,30.0
2018-04-03,97.07,96.09,96.09,96.18,102.0
2018-03-29,96.18,94.97,96.18,94.11,0.0
2018-03-28,95.26,94.11,94.11,95.22,645.0
2018-03-27,97.64,95.22,95.22,96.17,16.0
2018-03-26,96.17,95.05,96.17,95.89,59.0
2018-03-23,97.33,95.89,95.89,98.35,99.0
2018-03-22,99.64,98.35,98.35,101.78,0.0
2018-03-21,101.78,101.34,101.78,101.22,40.0
2018-03-20,101.62,99.74,101.22,99.27,170.0
2018-03-19,101.05,99.27,99.27,101.27,552.0
2018-03-16,101.27,99.77,101.27,100.36,0.0
2018-03-15,100.36,99.5,100.36,98.91,390.0
2018-03-14,100.07,98.84,98.91,100.14,20.0
2018-03-13,100.97,99.39,100.14,100.67,1000.0
2018-03-12,101.44,100.57,100.67,100.78,382.0
2018-03-09,100.78,98.87,100.78,98.69,60.0
2018-03-08,98.71,97.28,98.69,98.11,200.0
2018-03-07,98.11,95.49,98.11,97.34,676.0
2018-03-06,98.85,97.34,97.34,98.73,0.0
2018-03-05,98.73,97.4,98.73,97.35,231.0
2018-03-02,97.96,95.99,97.35,99.15,163.0
2018-03-01,100.52,99.15,99.15,101.65,50.0
2018-02-28,102.26,100.5,101.65,102.0,153.0
2018-02-27,102.0,100.7,102.0,100.66,140.0
2018-02-26,100.66,99.9,100.66,99.45,70.0
2018-02-23,99.45,98.5,99.45,97.78,20.0
2018-02-22,98.18,97.1,97.78,98.86,2000.0
2018-02-21,98.86,98.82,98.86,99.13,0.0
2018-02-20,99.23,98.06,99.13,98.0,850.0
2018-02-19,98.43,98.0,98.0,98.43,96.0
2018-02-16,98.43,97.87,98.43,97.11,0.0
2018-02-15,97.24,96.3,97.11,96.51,1112.0
2018-02-14,96.51,96.03,96.51,95.66,165.0
2018-02-13,96.06,94.62,95.66,96.36,92.0
2018-02-12,96.6,95.54,96.36,93.72,65.0
2018-02-09,94.95,91.39,93.72,94.91,1101.0
2018-02-08,97.65,94.61,94.91,98.89,274.0
2018-02-07,98.89,95.79,98.89,96.93,409.0
2018-02-06,96.93,90.0,96.93,95.99,4381.0
2018-02-05,96.77,93.72,95.99,97.34,1364.0
2018-02-02,99.34,97.34,97.34,99.85,60.0
2018-02-01,100.99,99.6,99.85,100.41,449.0
2018-01-31,100.41,99.17,100.41,99.66,102.0
2018-01-30,100.51,99.28,99.66,100.5,188.0
2018-01-29,102.0,100.5,100.5,100.5,1155.0
2018-01-26,101.0,100.0,100.5,100.0,115.0
2018-01-25,100.5,100.0,100.0,100.5,111.0
2018-01-24,101.5,100.0,100.5,101.5,53.0
2018-01-23,102.0,101.0,101.5,100.5,54.0
2018-01-22,100.5,100.0,100.5,100.0,50.0
2018-01-19,100.5,100.0,100.0,100.5,13.0
2018-01-18,100.5,99.6,100.5,99.8,40.0
2018-01-17,99.8,98.6,99.8,97.8,154.0
2018-01-16,99.6,97.8,97.8,98.6,124.0
2018-01-15,98.6,98.6,98.6,99.2,0.0
2018-01-12,99.6,98.6,99.2,98.8,217.0
2018-01-11,99.6,98.8,98.8,98.6,0.0
2018-01-10,99.8,98.0,98.6,100.0,539.0
2018-01-09,100.0,99.6,100.0,100.0,56.0
2018-01-08,100.0,99.2,100.0,98.2,606.0
2018-01-05,98.2,96.4,98.2,96.2,414.0
2018-01-04,96.8,96.2,96.2,96.4,253.0
2018-01-03,96.4,95.2,96.4,94.915,124.0
2018-01-02,95.454,94.624,94.915,96.2,8.0
2017-12-29,96.2,95.636,96.2,95.381,20.0
2017-12-28,96.02,95.381,95.381,95.524,384.0
2017-12-27,95.669,94.841,95.524,94.924,42.0
2017-12-22,95.293,94.506,94.924,94.622,6.0
2017-12-21,95.064,94.31,94.622,94.33,269.0
2017-12-20,95.161,94.192,94.33,95.126,105.0
2017-12-19,96.59,95.126,95.126,96.15,200.0
2017-12-18,97.421,96.15,96.15,96.572,1100.0
2017-12-15,96.699,96.047,96.572,96.271,15.0
2017-12-14,97.0,96.042,96.271,96.478,27.0
2017-12-13,97.081,96.382,96.478,96.468,210.0
2017-12-12,96.468,95.41,96.468,95.897,391.0
2017-12-11,95.897,95.587,95.897,95.563,11.0
2017-12-08,95.604,95.076,95.563,94.541,405.0
2017-12-07,94.541,93.229,94.541,93.198,19.0
2017-12-06,93.198,91.295,93.198,92.303,100.0
2017-12-05,92.303,90.4,92.303,92.854,680.0
2017-12-04,94.384,92.854,92.854,93.51,0.0
2017-12-01,94.18,93.51,93.51,93.131,250.0
2017-11-30,93.343,92.756,93.131,91.812,397.0
2017-11-29,95.541,91.804,91.812,94.821,213.0
2017-11-28,95.0,94.288,94.821,94.079,56.0
2017-11-27,94.079,93.843,94.079,93.64,0.0
2017-11-24,94.164,93.64,93.64,93.8,1605.0
2017-11-23,93.8,93.468,93.8,93.937,26.0
2017-11-22,95.125,93.612,93.937,94.211,175.0
2017-11-21,94.211,93.449,94.211,93.943,2164.0
2017-11-20,93.943,93.158,93.943,93.076,20.0
2017-11-17,94.656,93.076,93.076,94.484,50.0
2017-11-16,94.484,93.374,94.484,93.944,100.0
2017-11-15,94.583,93.844,93.944,94.462,230.0
2017-11-14,95.33,94.162,94.462,95.482,1385.0
2017-11-13,96.352,95.482,95.482,95.892,260.0
2017-11-10,96.142,95.312,95.892,96.382,0.0
2017-11-09,97.0,95.271,96.382,97.198,577.0
2017-11-08,97.27,96.264,97.198,96.393,190.0
2017-11-07,96.84,96.393,96.393,96.475,100.0
2017-11-06,96.858,95.777,96.475,96.033,1290.0
2017-11-03,96.033,95.191,96.033,94.649,433.0
2017-11-02,95.107,94.582,94.649,95.461,665.0
2017-11-01,95.461,94.849,95.461,94.347,50.0
2017-10-30,94.488,94.016,94.347,94.203,165.0
2017-10-27,95.29,93.674,94.203,94.186,808.0
2017-10-26,94.326,92.83,94.186,92.892,197.0
2017-10-25,93.146,92.629,92.892,91.883,380.0
2017-10-24,91.883,91.234,91.883,91.494,0.0
2017-10-23,91.539,91.173,91.494,91.428,324.0
2017-10-20,91.428,90.911,91.428,90.701,22.0
2017-10-19,91.29,90.461,90.701,91.303,40.0
2017-10-18,91.816,91.303,91.303,91.297,25.0
2017-10-17,92.11,91.297,91.297,90.984,0.0
2017-10-16,92.391,90.911,90.984,91.76,40.0
2017-10-13,91.801,91.053,91.76,91.592,0.0
2017-10-12,91.784,91.095,91.592,91.398,101.0
2017-10-11,91.494,91.085,91.398,90.702,35.0
2017-10-10,91.064,90.702,90.702,91.348,50.0
2017-10-09,91.348,90.769,91.348,90.545,30.0
2017-10-06,91.206,90.404,90.545,90.393,202.0
2017-10-05,90.393,89.447,90.393,89.559,11.0
2017-10-04,89.851,89.278,89.559,89.852,143.0
2017-10-02,90.091,89.489,89.852,89.029,356.0
2017-09-29,89.115,88.756,89.029,88.703,0.0
2017-09-28,88.705,88.148,88.703,88.087,0.0
2017-09-27,88.217,87.447,88.087,87.661,140.0
2017-09-26,87.661,86.947,87.661,88.186,0.0
2017-09-25,88.852,88.186,88.186,88.216,50.0
2017-09-22,88.216,87.8,88.216,87.865,0.0
2017-09-20,88.036,87.406,87.406,87.99,15.0
2017-09-19,87.99,87.522,87.99,87.574,65.0
2017-09-18,88.539,87.574,87.574,88.115,0.0
2017-09-15,88.782,88.044,88.115,89.0,20.0
2017-09-14,89.052,88.949,89.0,88.588,286.0
2017-09-13,88.856,88.204,88.588,89.129,137.0
2017-09-12,89.129,88.636,89.129,87.896,85.0
2017-09-11,87.896,87.461,87.896,86.861,0.0
2017-09-08,86.961,86.2,86.861,87.147,81.0
2017-09-07,87.421,86.044,87.147,86.574,81.0
2017-09-06,86.898,86.427,86.574,86.177,15.0
2017-09-05,87.195,85.769,86.177,87.068,100.0
2017-09-04,87.068,86.69,87.068,87.443,0.0
2017-09-01,87.443,86.85,87.443,87.921,2039.0
2017-08-31,87.921,87.268,87.921,87.02,47.0
2017-08-30,87.02,86.822,87.02,86.268,0.0
2017-08-29,86.268,85.051,86.268,86.731,35.0
2017-08-28,86.906,86.311,86.731,86.933,50.0
2017-08-25,87.818,86.933,86.933,87.295,12.0
2017-08-24,87.575,87.064,87.295,87.349,50.0
2017-08-23,88.359,87.349,87.349,87.898,75.0
2017-08-22,87.931,87.634,87.898,87.387,0.0
2017-08-21,87.482,86.894,87.387,87.291,125.0
2017-08-18,87.671,87.028,87.291,87.494,0.0
2017-08-17,88.39,87.494,87.494,88.081,241.0
2017-08-16,88.601,87.296,88.081,87.128,13.0
2017-08-15,87.358,86.776,87.128,86.049,115.0
2017-08-14,86.175,84.956,86.049,84.573,0.0
2017-08-11,84.783,84.121,84.573,84.965,641.0
2017-08-10,85.825,84.792,84.965,85.808,0.0
2017-08-09,86.284,85.808,85.808,86.345,11.0
2017-08-08,86.584,85.668,86.345,85.899,40.0
2017-08-07,86.046,85.431,85.899,85.55,18.0
2017-08-04,85.84,84.356,85.55,84.789,0.0
2017-08-03,85.51,84.789,84.789,85.065,215.0
2017-08-02,85.44,84.602,85.065,85.316,200.0
2017-08-01,85.362,84.45,85.316,84.481,251.0
2017-07-31,84.82,83.8,84.481,84.312,36.0
2017-07-28,85.287,84.23,84.312,84.769,25.0
2017-07-27,86.22,84.769,84.769,86.101,0.0
2017-07-26,86.49,85.257,86.101,86.043,3.0
2017-07-25,87.366,85.517,86.043,86.084,50.0
2017-07-24,86.084,85.001,86.084,85.534,0.0
2017-07-21,85.575,84.751,85.534,84.633,310.0
2017-07-20,85.53,84.611,84.633,84.933,59.0
2017-07-19,84.933,84.172,84.933,83.691,70.0
2017-07-18,83.691,83.578,83.691,84.362,0.0
2017-07-17,85.299,84.015,84.362,84.844,117.0
2017-07-14,84.844,83.504,84.844,84.06,0.0
2017-07-13,84.5,84.06,84.06,84.328,15.0
2017-07-12,84.328,83.001,84.328,83.533,6.0
2017-07-11,83.533,83.0,83.533,83.426,0.0
2017-07-10,83.549,82.009,83.426,82.505,992.0
2017-07-07,82.553,81.266,82.505,82.209,0.0
2017-07-06,82.227,81.935,82.209,82.939,50.0
2017-07-05,83.127,82.001,82.939,82.001,0.0
2017-07-04,82.152,82.001,82.001,82.309,0.0
2017-07-03,82.926,82.001,82.309,82.621,0.0
2017-06-30,82.621,82.465,82.621,82.768,60.0
2017-06-29,84.157,82.675,82.768,84.567,32.0
2017-06-28,84.567,83.101,84.567,84.011,0.0
2017-06-27,84.428,84.011,84.011,85.353,0.0
2017-06-26,85.99,84.856,85.353,84.957,47.0
2017-06-23,85.089,83.555,84.957,84.377,0.0
2017-06-22,84.74,84.043,84.377,84.651,6.0
2017-06-21,84.723,84.151,84.651,85.099,0.0
2017-06-20,85.111,84.359,85.099,84.645,0.0
2017-06-19,84.7,83.613,84.645,84.152,0.0
2017-06-16,84.337,83.978,84.152,84.175,0.0
2017-06-15,84.405,83.911,84.175,84.672,0.0
2017-06-14,84.946,84.394,84.672,84.926,80.0
2017-06-13,84.926,83.345,84.926,83.381,306.0
2017-06-12,84.139,82.952,83.381,84.415,0.0
2017-06-09,86.263,84.415,84.415,85.144,75.0
2017-06-08,85.494,84.975,85.144,85.436,61.0
2017-06-07,85.71,84.936,85.436,85.538,105.0
2017-06-06,85.538,85.159,85.538,85.231,0.0
2017-06-02,85.246,85.231,85.231,84.966,500.0
2017-06-01,85.15,84.518,84.966,84.537,268.0
2017-05-31,84.75,84.513,84.537,84.74,48.0
2017-05-30,84.74,84.613,84.74,84.301,12.0
2017-05-29,84.515,84.301,84.301,84.598,0.0
2017-05-26,84.85,84.481,84.598,84.707,0.0
2017-05-25,84.839,84.501,84.707,84.219,0.0
2017-05-24,84.219,83.889,84.219,83.941,0.0
2017-05-23,83.941,82.776,83.941,82.928,0.0
2017-05-22,82.928,82.273,82.928,82.386,20.0
2017-05-19,82.65,82.1,82.386,82.403,41.0
2017-05-18,82.929,82.21,82.403,82.737,2120.0
2017-05-17,83.197,82.581,82.737,83.933,800.0
2017-05-16,84.517,83.795,83.933,84.735,1400.0
2017-05-15,85.452,84.464,84.735,84.469,94.0
2017-05-12,84.616,84.181,84.469,84.538,59.0
2017-05-11,84.538,84.406,84.538,84.895,1123.0
2017-05-10,84.895,84.4,84.895,84.507,623.0
2017-05-09,84.612,83.625,84.507,84.234,620.0
2017-05-08,84.49,83.755,84.234,83.706,122.0
