Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,19.425,19.285,19.425,19.745,0.0
2018-10-29,19.745,19.435,19.745,19.475,9.0
2018-10-26,19.51,19.265,19.475,19.505,0.0
2018-10-25,19.605,19.505,19.505,19.605,0.0
2018-10-24,19.62,19.565,19.605,19.4,0.0
2018-10-23,19.455,19.35,19.4,19.535,0.0
2018-10-22,19.6,19.53,19.535,19.65,20.0
2018-10-19,19.69,19.575,19.65,19.59,0.0
2018-10-18,19.71,19.59,19.59,19.675,0.0
2018-10-17,19.71,19.655,19.675,19.73,0.0
2018-10-16,19.73,19.505,19.73,19.605,0.0
2018-10-15,19.735,19.6,19.605,19.845,0.0
2018-10-12,19.85,19.72,19.845,19.78,0.0
2018-10-11,20.01,19.24,19.78,19.785,192.0
2018-10-10,19.935,19.65,19.785,19.71,548.0
2018-10-09,19.725,19.67,19.71,19.66,0.0
2018-10-08,19.885,19.31,19.66,19.615,10.0
2018-10-05,19.625,19.47,19.615,19.535,0.0
2018-10-04,19.535,19.325,19.535,19.445,0.0
2018-10-02,19.49,19.32,19.445,19.48,7.0
2018-10-01,19.68,19.425,19.48,19.415,7.0
2018-09-28,19.48,19.215,19.415,19.205,0.0
2018-09-27,19.66,19.155,19.205,19.315,40.0
2018-09-26,19.315,18.975,19.315,19.09,0.0
2018-09-25,19.09,19.02,19.09,19.32,0.0
2018-09-24,19.49,19.32,19.32,17.55,32.0
2018-09-21,17.625,17.475,17.55,17.655,0.0
2018-09-20,18.03,17.465,17.655,17.49,0.0
2018-09-19,17.5,17.32,17.49,17.515,0.0
2018-09-18,17.54,17.395,17.515,17.52,0.0
2018-09-17,17.75,17.435,17.52,17.145,300.0
2018-09-14,17.145,17.145,17.145,17.185,0.0
2018-09-13,17.185,17.005,17.185,17.125,0.0
2018-09-12,17.19,17.065,17.125,17.185,0.0
2018-09-11,17.2,17.05,17.185,17.12,0.0
2018-09-10,17.17,17.015,17.12,17.135,701.0
2018-09-07,17.135,16.825,17.135,16.98,0.0
2018-09-06,16.98,16.835,16.98,16.945,0.0
2018-09-05,17.02,16.87,16.945,17.015,0.0
2018-09-04,17.015,16.855,17.015,17.5,0.0
2018-09-03,17.5,16.825,17.5,16.96,9.0
2018-08-31,17.06,16.885,16.96,17.03,0.0
2018-08-30,17.06,16.885,17.03,16.88,0.0
2018-08-29,16.885,16.69,16.88,16.815,0.0
2018-08-28,16.89,16.7,16.815,16.73,0.0
2018-08-27,16.75,16.73,16.73,16.875,0.0
2018-08-24,16.89,16.755,16.875,16.875,0.0
2018-08-23,16.915,16.76,16.875,17.19,0.0
2018-08-22,17.19,16.73,17.19,16.735,1009.0
2018-08-21,16.735,16.735,16.735,16.945,0.0
2018-08-20,16.96,16.78,16.945,16.895,0.0
2018-08-17,16.93,16.81,16.895,16.86,0.0
2018-08-16,16.86,16.86,16.86,16.885,0.0
2018-08-15,16.885,16.885,16.885,16.995,0.0
2018-08-14,16.995,16.995,16.995,16.835,0.0
2018-08-13,16.835,16.835,16.835,17.44,0.0
2018-08-10,17.44,16.74,17.44,17.07,14.0
2018-08-09,17.07,16.615,17.07,16.61,0.0
2018-08-08,16.61,16.61,16.61,16.635,0.0
2018-08-07,16.635,16.635,16.635,16.75,0.0
2018-08-06,16.75,16.75,16.75,16.755,0.0
2018-08-03,16.755,16.755,16.755,16.775,0.0
2018-08-02,16.775,16.775,16.775,16.79,0.0
2018-08-01,16.79,16.79,16.79,17.425,0.0
2018-07-31,17.425,16.66,17.425,16.75,294.0
2018-07-30,16.75,16.75,16.75,16.86,0.0
2018-07-27,16.86,16.725,16.86,16.895,0.0
2018-07-26,16.895,16.745,16.895,16.805,0.0
2018-07-25,16.805,16.61,16.805,16.705,8.0
2018-07-24,16.705,16.54,16.705,16.665,0.0
2018-07-23,16.695,16.555,16.665,16.55,0.0
2018-07-20,16.55,16.55,16.55,17.115,0.0
2018-07-19,17.115,16.63,17.115,16.975,9.0
2018-07-18,17.01,16.835,16.975,16.945,0.0
2018-07-17,17.06,16.915,16.945,17.215,0.0
2018-07-16,17.635,17.085,17.215,17.98,0.0
2018-07-13,17.98,17.14,17.98,17.27,249.0
2018-07-12,17.27,17.195,17.27,16.7,0.0
2018-07-11,16.915,16.565,16.7,16.79,0.0
2018-07-10,16.79,16.225,16.79,16.44,0.0
2018-07-09,16.44,16.125,16.44,16.185,250.0
2018-07-06,16.235,16.025,16.185,16.235,0.0
2018-07-05,16.235,16.235,16.235,16.39,0.0
2018-07-04,16.39,16.21,16.39,16.295,0.0
2018-07-03,16.36,16.255,16.295,16.39,0.0
2018-07-02,16.39,16.29,16.39,16.3,0.0
2018-06-29,16.3,16.04,16.3,16.19,0.0
2018-06-28,16.255,16.085,16.19,16.265,0.0
2018-06-27,16.72,16.02,16.265,16.215,1250.0
2018-06-26,16.22,15.74,16.215,15.9,0.0
2018-06-25,15.915,15.825,15.9,15.9,0.0
2018-06-22,16.075,15.74,15.9,15.84,0.0
2018-06-21,15.845,15.42,15.84,15.58,0.0
2018-06-20,15.58,14.93,15.58,15.1,0.0
2018-06-19,15.14,15.005,15.1,15.12,0.0
2018-06-18,15.21,15.09,15.12,15.19,0.0
2018-06-15,15.3,15.18,15.19,15.18,0.0
2018-06-14,15.48,14.895,15.18,15.01,3.0
2018-06-13,15.155,15.01,15.01,15.22,0.0
2018-06-12,15.69,15.06,15.22,15.085,14.0
2018-06-11,15.17,15.005,15.085,15.045,0.0
2018-06-08,15.275,15.045,15.045,15.125,0.0
2018-06-07,15.285,15.125,15.125,15.34,0.0
2018-06-06,15.365,15.2,15.34,15.365,0.0
