Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,10.13,10.12,10.13,10.02,0.0
2018-10-29,10.4,10.02,10.02,10.42,0.0
2018-10-26,10.8,10.01,10.42,10.31,0.0
2018-10-25,10.31,10.3,10.31,10.35,0.0
2018-10-24,10.35,10.23,10.35,10.26,0.0
2018-10-23,10.27,10.26,10.26,10.18,0.0
2018-10-22,10.26,10.1,10.18,10.22,0.0
2018-10-19,10.25,10.2,10.22,9.68,0.0
2018-10-18,9.77,9.45,9.68,9.42,0.0
2018-10-17,9.48,9.39,9.42,9.4,0.0
2018-10-16,9.4,9.3,9.4,9.71,140.0
2018-10-15,9.71,9.14,9.71,9.31,100.0
2018-10-12,9.34,8.9,9.31,8.97,0.0
2018-10-11,9.27,8.85,8.97,9.55,300.0
2018-10-10,9.92,9.55,9.55,9.96,0.0
2018-10-09,9.96,9.94,9.96,9.92,0.0
2018-10-08,10.17,9.92,9.92,10.16,0.0
2018-10-05,10.2,10.14,10.16,10.39,0.0
2018-10-04,10.74,10.38,10.39,10.89,0.0
2018-10-02,11.09,10.63,10.89,11.12,0.0
2018-10-01,11.15,11.12,11.12,11.05,0.0
2018-09-28,11.09,11.02,11.05,10.89,0.0
2018-09-27,10.89,10.6,10.89,10.62,0.0
2018-09-26,10.62,10.55,10.62,10.51,0.0
2018-09-25,10.54,10.51,10.51,10.49,0.0
2018-09-24,11.05,10.49,10.49,10.7,0.0
2018-09-21,10.7,10.67,10.7,10.66,0.0
2018-09-20,11.15,10.64,10.66,11.04,1000.0
2018-09-19,11.05,11.02,11.04,10.9,0.0
2018-09-18,11.13,10.9,10.9,11.16,0.0
2018-09-17,11.18,11.16,11.16,11.19,0.0
2018-09-14,11.24,11.17,11.19,11.42,0.0
2018-09-13,11.42,11.41,11.42,11.36,0.0
2018-09-12,11.36,11.35,11.36,11.18,0.0
2018-09-11,11.18,11.13,11.18,11.21,0.0
2018-09-10,11.31,11.21,11.21,11.32,0.0
