Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,157.06,152.39,157.06,151.99,147.0
2018-10-29,153.7,151.61,151.99,152.15,496.0
2018-10-26,153.15,151.99,152.15,155.41,27.0
2018-10-25,155.82,154.5,155.41,154.19,106.0
2018-10-24,154.63,153.31,154.19,153.92,451.0
2018-10-23,154.69,144.59,153.92,147.0,487.0
2018-10-22,147.0,146.09,147.0,145.83,252.0
2018-10-19,146.25,144.68,145.83,144.86,109.0
2018-10-18,146.0,144.5,144.86,144.71,489.0
2018-10-17,145.04,141.88,144.71,141.73,83.0
2018-10-16,141.8,140.56,141.73,141.97,67.0
2018-10-15,142.63,141.06,141.97,140.27,1363.0
2018-10-12,142.7,140.27,140.27,139.65,94.0
2018-10-11,144.0,139.65,139.65,147.22,193.0
2018-10-10,149.39,147.22,147.22,147.69,22.0
2018-10-09,147.69,145.79,147.69,145.39,10.0
2018-10-08,146.09,144.64,145.39,143.98,39.0
2018-10-05,143.98,143.98,143.98,143.93,0.0
2018-10-04,143.93,142.71,143.93,143.68,14.0
2018-10-02,144.04,143.42,143.68,145.16,0.0
2018-10-01,145.17,144.7,145.16,143.62,65.0
2018-09-28,144.15,142.79,143.62,142.67,25.0
2018-09-27,143.0,141.21,142.67,141.3,171.0
2018-09-26,141.85,141.3,141.3,141.64,193.0
2018-09-25,141.82,138.9,141.64,139.02,441.0
2018-09-24,140.4,138.08,139.02,139.85,30.0
2018-09-21,139.85,136.81,139.85,136.6,62.0
2018-09-20,136.6,135.73,136.6,135.91,20.0
2018-09-19,135.91,134.91,135.91,135.21,35.0
2018-09-18,136.0,134.92,135.21,135.7,535.0
2018-09-17,138.2,134.38,135.7,137.99,55.0
2018-09-14,138.92,137.84,137.99,138.77,15.0
2018-09-13,142.04,138.15,138.77,142.15,106.0
2018-09-12,142.15,142.15,142.15,142.58,0.0
2018-09-11,142.58,142.02,142.58,141.77,117.0
2018-09-10,142.81,141.77,141.77,141.68,145.0
2018-09-07,141.68,140.5,141.68,141.11,0.0
2018-09-06,141.11,139.97,141.11,139.85,247.0
2018-09-05,140.06,139.07,139.85,139.66,98.0
2018-09-04,140.3,139.33,139.66,140.16,35.0
2018-09-03,140.16,139.59,140.16,139.66,22.0
2018-08-31,139.66,138.33,139.66,139.95,0.0
2018-08-30,139.95,139.13,139.95,138.45,670.0
2018-08-29,138.74,138.45,138.45,137.32,45.0
2018-08-28,137.58,137.15,137.32,137.23,30.0
2018-08-27,137.56,137.23,137.23,136.77,90.0
2018-08-24,137.67,136.77,136.77,137.75,20.0
2018-08-23,138.7,137.75,137.75,138.64,0.0
2018-08-22,138.64,138.04,138.64,139.62,0.0
2018-08-21,140.72,139.62,139.62,141.43,602.0
2018-08-20,141.43,141.13,141.43,140.53,96.0
2018-08-17,142.35,140.53,140.53,142.23,50.0
2018-08-16,142.23,140.89,142.23,140.45,0.0
2018-08-15,141.54,139.91,140.45,142.05,302.0
2018-08-14,142.05,138.83,142.05,138.19,38.0
2018-08-13,138.85,138.19,138.19,138.48,0.0
2018-08-10,138.96,138.1,138.48,137.17,2795.0
2018-08-09,137.17,136.28,137.17,135.7,17.0
2018-08-08,135.7,134.36,135.7,135.32,21.0
2018-08-07,135.67,135.32,135.32,136.05,200.0
2018-08-06,136.05,135.18,136.05,134.66,30.0
2018-08-03,134.66,133.94,134.66,132.48,38.0
2018-08-02,134.5,132.28,132.48,134.06,3.0
2018-08-01,134.81,133.86,134.06,134.61,5.0
2018-07-31,135.59,134.61,134.61,135.43,28.0
2018-07-30,136.5,134.7,135.43,134.83,9.0
2018-07-27,135.31,134.11,134.83,132.86,432.0
2018-07-26,135.31,132.81,132.86,135.15,230.0
2018-07-25,135.31,134.83,135.15,135.3,250.0
2018-07-24,136.14,135.23,135.3,135.58,0.0
2018-07-23,135.58,134.2,135.58,134.65,28.0
2018-07-20,135.12,133.78,134.65,136.31,400.0
2018-07-19,136.51,135.47,136.31,135.81,70.0
2018-07-18,137.73,135.81,135.81,136.38,130.0
2018-07-17,136.77,135.38,136.38,135.94,0.0
2018-07-16,135.94,135.73,135.94,135.36,35.0
2018-07-13,135.44,134.45,135.36,136.11,1590.0
2018-07-12,136.11,136.11,136.11,135.69,0.0
2018-07-11,135.91,135.11,135.69,136.91,0.0
2018-07-10,137.27,136.32,136.91,136.43,81.0
2018-07-09,136.7,135.57,136.43,136.14,254.0
2018-07-06,136.14,133.98,136.14,134.05,596.0
2018-07-05,134.43,134.05,134.05,134.85,40.0
2018-07-04,134.85,134.26,134.85,134.82,10.0
2018-07-03,134.96,134.61,134.82,134.25,0.0
2018-07-02,134.25,134.0,134.25,134.74,45.0
2018-06-29,134.74,134.74,134.74,135.53,0.0
2018-06-28,136.4,135.21,135.53,136.6,7.0
2018-06-27,138.35,136.35,136.6,137.76,168.0
2018-06-26,138.41,136.92,137.76,136.74,140.0
2018-06-25,141.0,136.74,136.74,139.96,122.0
2018-06-22,139.96,138.15,139.96,138.0,107.0
2018-06-21,140.82,138.0,138.0,140.5,92.0
2018-06-20,142.9,140.22,140.5,142.41,41.0
2018-06-19,142.75,141.81,142.41,141.3,2832.0
2018-06-18,142.95,141.3,141.3,143.01,0.0
2018-06-15,144.45,141.66,143.01,143.97,101.0
2018-06-14,143.97,140.73,143.97,142.0,156.0
2018-06-13,142.0,141.64,142.0,141.43,17.0
2018-06-12,142.2,141.14,141.43,141.47,2562.0
2018-06-11,143.22,141.08,141.47,143.93,44.0
2018-06-08,145.2,143.22,143.93,143.53,529.0
2018-06-07,143.53,137.62,143.53,137.69,0.0
2018-06-06,137.69,135.47,137.69,135.76,44.0
2018-06-05,137.07,135.76,135.76,136.88,51.0
2018-06-04,136.88,136.01,136.88,136.76,460.0
2018-06-01,136.78,136.46,136.76,137.54,15.0
2018-05-31,138.38,137.26,137.54,138.64,1.0
2018-05-30,139.26,138.64,138.64,138.99,25.0
2018-05-29,140.62,138.99,138.99,140.01,89.0
2018-05-28,140.01,140.01,140.01,139.73,16.0
2018-05-25,140.22,138.82,139.73,138.5,0.0
2018-05-24,138.5,137.5,138.5,137.59,0.0
2018-05-23,137.59,135.3,137.59,135.21,39.0
2018-05-22,137.24,135.21,135.21,136.81,220.0
2018-05-18,138.26,136.66,136.81,137.72,35.0
2018-05-17,137.72,137.45,137.72,138.16,0.0
2018-05-16,138.62,137.6,138.16,137.23,259.0
2018-05-15,138.86,137.23,137.23,137.49,258.0
2018-05-14,138.77,137.49,137.49,137.87,99.0
2018-05-11,138.7,137.87,137.87,138.28,1200.0
2018-05-10,138.56,137.71,138.28,138.58,20.0
2018-05-09,139.37,138.42,138.58,138.96,0.0
2018-05-08,138.96,137.95,138.96,138.57,2.0
2018-05-07,140.08,137.96,138.57,138.16,394.0
2018-05-04,138.19,133.67,138.16,133.39,197.0
2018-05-03,134.01,133.0,133.39,135.23,84.0
2018-05-02,136.77,135.23,135.23,138.32,1715.0
2018-04-30,138.32,130.76,138.32,131.04,1646.0
2018-04-27,131.71,130.86,131.04,127.92,87.0
2018-04-26,128.06,127.92,127.92,128.23,0.0
2018-04-25,128.53,127.5,128.23,128.78,40.0
2018-04-24,130.66,128.78,128.78,130.32,250.0
2018-04-23,130.32,129.2,130.32,129.61,0.0
2018-04-20,130.53,129.2,129.61,128.5,45.0
2018-04-19,130.8,128.5,128.5,130.83,0.0
2018-04-18,131.76,130.83,130.83,131.58,0.0
2018-04-17,131.71,130.8,131.58,130.72,16.0
2018-04-16,131.55,130.13,130.72,131.26,110.0
2018-04-13,131.78,131.01,131.26,132.28,0.0
2018-04-12,134.17,132.18,132.28,131.99,39.0
2018-04-11,131.99,131.21,131.99,132.2,0.0
2018-04-10,132.79,132.2,132.2,132.07,3.0
2018-04-09,132.07,131.28,132.07,132.38,15.0
2018-04-06,132.93,131.85,132.38,134.21,25.0
2018-04-05,134.21,132.12,134.21,129.23,23.0
2018-04-04,130.23,128.87,129.23,129.4,10.0
2018-04-03,129.4,128.01,129.4,129.55,0.0
2018-03-29,129.55,128.61,129.55,128.77,20.0
2018-03-28,128.77,126.9,128.77,128.3,50.0
2018-03-27,128.3,127.32,128.3,126.74,0.0
2018-03-26,126.74,125.81,126.74,125.98,683.0
2018-03-23,128.24,125.98,125.98,127.37,705.0
2018-03-22,128.21,127.37,127.37,129.95,94.0
2018-03-21,129.95,129.66,129.95,130.62,0.0
2018-03-20,130.62,128.85,130.62,128.93,24.0
2018-03-19,132.74,128.58,128.93,131.94,153.0
2018-03-16,132.24,130.8,131.94,128.91,75.0
2018-03-15,128.91,127.8,128.91,127.28,200.0
2018-03-14,128.52,127.28,127.28,128.58,4.0
2018-03-13,129.04,127.91,128.58,128.36,250.0
2018-03-12,129.45,128.25,128.36,127.45,1198.0
2018-03-09,128.01,125.04,127.45,124.62,84.0
2018-03-08,124.67,122.84,124.62,122.77,34.0
2018-03-07,122.77,120.61,122.77,121.17,23.0
2018-03-06,123.5,121.17,121.17,122.51,468.0
2018-03-05,122.67,120.3,122.51,120.04,98.0
2018-03-02,126.76,119.83,120.04,127.89,55.0
2018-03-01,130.12,127.89,127.89,130.75,85.0
2018-02-28,131.54,130.43,130.75,132.55,1.0
2018-02-27,133.4,132.1,132.55,132.34,1784.0
2018-02-26,132.5,132.21,132.34,131.91,97.0
2018-02-23,131.91,131.17,131.91,130.47,14.0
2018-02-22,130.47,128.87,130.47,128.89,300.0
2018-02-21,128.89,127.43,128.89,127.58,60.0
2018-02-20,127.62,126.99,127.58,126.81,205.0
2018-02-19,127.68,126.81,126.81,127.62,81.0
2018-02-16,129.29,127.16,127.62,128.11,193.0
2018-02-15,128.91,127.51,128.11,129.69,789.0
2018-02-14,131.53,129.24,129.69,132.21,150.0
2018-02-13,132.71,131.0,132.21,133.47,40.0
2018-02-12,134.35,131.7,133.47,130.08,26.0
2018-02-09,130.9,127.92,130.08,132.16,794.0
2018-02-08,135.3,132.16,132.16,136.35,170.0
2018-02-07,136.8,132.61,136.35,133.89,366.0
2018-02-06,133.89,127.29,133.89,132.8,540.0
2018-02-05,135.55,131.72,132.8,137.2,993.0
2018-02-02,137.2,137.2,137.2,138.29,0.0
2018-02-01,138.73,135.8,138.29,137.15,142.0
2018-01-31,139.55,137.15,137.15,140.57,188.0
2018-01-30,144.18,140.1,140.57,144.0,220.0
2018-01-29,144.5,143.5,144.0,141.5,96.0
2018-01-26,142.0,141.0,141.5,140.5,228.0
2018-01-25,142.5,140.0,140.5,141.5,53.0
2018-01-24,143.5,141.5,141.5,144.0,5.0
2018-01-23,144.5,142.5,144.0,143.5,94.0
2018-01-22,144.5,143.5,143.5,143.5,100.0
2018-01-19,144.0,142.0,143.5,142.5,82.0
2018-01-18,143.5,142.0,142.5,142.5,784.0
2018-01-17,143.0,142.0,142.5,141.0,85.0
2018-01-16,143.0,141.0,141.0,142.0,2228.0
2018-01-15,142.5,142.0,142.0,143.0,454.0
2018-01-12,143.5,142.5,143.0,144.0,132.0
2018-01-11,145.0,144.0,144.0,145.0,554.0
2018-01-10,145.5,144.0,145.0,145.5,274.0
2018-01-09,146.0,145.0,145.5,145.5,17.0
2018-01-08,146.0,144.5,145.5,144.0,185.0
2018-01-05,145.0,143.0,144.0,144.0,301.0
2018-01-04,144.0,143.0,144.0,143.0,1530.0
2018-01-03,145.0,143.0,143.0,143.99,103.0
2018-01-02,144.06,143.3,143.99,144.82,103.0
2017-12-29,144.82,144.82,144.82,144.84,0.0
2017-12-28,144.88,144.61,144.84,144.9,181.0
2017-12-27,145.17,144.2,144.9,144.39,100.0
2017-12-22,145.17,144.29,144.39,144.98,0.0
2017-12-21,145.3,144.96,144.98,144.54,0.0
2017-12-20,146.9,144.54,144.54,146.54,70.0
2017-12-19,147.8,146.54,146.54,147.92,140.0
2017-12-18,148.69,147.92,147.92,148.31,276.0
2017-12-15,148.4,147.0,148.31,146.86,298.0
2017-12-14,147.55,146.65,146.86,147.07,363.0
2017-12-13,147.74,146.42,147.07,147.36,34.0
2017-12-12,147.36,146.5,147.36,146.05,7.0
2017-12-11,147.01,146.05,146.05,147.36,200.0
2017-12-08,147.62,146.99,147.36,146.9,202.0
2017-12-07,147.15,146.9,146.9,147.06,100.0
2017-12-06,147.06,145.82,147.06,146.43,5.0
2017-12-05,146.81,144.79,146.43,143.933,1069.0
2017-12-04,146.95,143.933,143.933,144.16,845.0
2017-12-01,144.23,144.16,144.16,142.74,50.0
2017-11-30,142.9,142.74,142.74,144.46,1.0
2017-11-29,144.46,144.46,144.46,142.05,0.0
2017-11-28,142.05,141.68,142.05,141.12,175.0
2017-11-27,141.8,140.6,141.12,141.8,40.0
2017-11-24,142.84,141.78,141.8,143.0,35.0
2017-11-23,143.0,142.7,143.0,143.19,17.0
2017-11-22,144.0,143.18,143.19,144.07,125.0
2017-11-21,144.07,141.98,144.07,141.97,90.0
2017-11-20,142.51,141.76,141.97,141.44,6.0
2017-11-17,142.06,141.42,141.44,142.77,200.0
2017-11-16,143.1,142.19,142.77,142.45,550.0
2017-11-15,142.77,141.28,142.45,142.97,95.0
2017-11-14,143.35,142.2,142.97,143.79,97.0
2017-11-13,143.79,142.18,143.79,141.31,0.0
2017-11-10,143.21,141.31,141.31,142.83,35.0
2017-11-09,146.65,142.83,142.83,146.33,123.0
2017-11-08,147.27,146.33,146.33,147.0,398.0
2017-11-07,147.21,146.82,147.0,146.38,40.0
2017-11-06,146.38,145.01,146.38,145.92,805.0
2017-11-03,145.92,144.17,145.92,144.42,288.0
2017-11-02,144.42,142.28,144.42,143.68,925.0
2017-11-01,144.0,143.68,143.68,142.19,94.0
2017-10-30,142.42,141.75,142.19,142.6,30.0
2017-10-27,142.76,140.87,142.6,140.68,56.0
2017-10-26,140.68,138.34,140.68,138.13,10.0
2017-10-25,139.79,138.13,138.13,140.0,31.0
2017-10-24,140.46,139.18,140.0,139.69,31.0
2017-10-23,142.04,139.69,139.69,140.72,2278.0
2017-10-20,141.95,140.72,140.72,140.91,291.0
2017-10-19,140.91,139.57,140.91,140.58,169.0
2017-10-18,140.67,139.79,140.58,141.08,15.0
2017-10-17,141.08,140.0,141.08,139.39,0.0
2017-10-16,140.35,139.39,139.39,139.83,318.0
2017-10-13,139.83,138.38,139.83,138.62,257.0
2017-10-12,138.79,137.18,138.62,137.19,0.0
2017-10-11,137.39,135.8,137.19,136.44,0.0
2017-10-10,136.75,135.92,136.44,136.39,0.0
2017-10-09,136.39,135.8,136.39,136.45,0.0
2017-10-06,136.45,135.59,136.45,134.9,50.0
2017-10-05,134.9,133.61,134.9,133.37,20.0
2017-10-04,133.47,133.37,133.37,133.7,0.0
2017-10-02,133.7,132.95,133.7,132.85,300.0
2017-09-29,133.95,132.65,132.85,133.8,96.0
2017-09-28,134.0,131.53,133.8,131.18,0.0
2017-09-27,131.24,130.001,131.18,131.36,258.0
2017-09-26,132.52,131.36,131.36,132.49,6.0
2017-09-25,133.55,132.49,132.49,132.91,15.0
2017-09-22,133.3,132.63,132.91,134.18,0.0
