Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,73.98,72.84,73.98,72.88,654.0
2018-10-29,73.64,72.88,72.88,73.78,14655.0
2018-10-26,74.3,73.32,73.78,73.72,2211.0
2018-10-25,73.92,72.74,73.72,73.44,2916.0
2018-10-24,73.78,72.82,73.44,72.5,2158.0
2018-10-23,73.3,72.12,72.5,72.66,8340.0
2018-10-22,72.76,71.8,72.66,71.26,8766.0
2018-10-19,71.6,69.7,71.26,69.7,2035.0
2018-10-18,69.7,68.52,69.7,68.96,1644.0
2018-10-17,69.96,68.96,68.96,69.66,2295.0
2018-10-16,69.66,68.76,69.66,69.0,1185.0
2018-10-15,69.14,68.38,69.0,68.74,550.0
2018-10-12,69.34,68.34,68.74,69.0,2613.0
2018-10-11,70.48,68.5,69.0,70.5,5945.0
2018-10-10,71.52,70.32,70.5,70.86,2550.0
2018-10-09,71.14,70.5,70.86,71.0,773.0
2018-10-08,71.14,70.68,71.0,70.68,3624.0
2018-10-05,71.54,70.66,70.68,71.48,1850.0
2018-10-04,72.66,71.34,71.48,72.14,3220.0
2018-10-02,72.84,72.12,72.14,72.02,3938.0
2018-10-01,72.1,71.76,72.02,71.92,2589.0
2018-09-28,72.24,71.3,71.92,71.24,11350.0
2018-09-27,71.32,70.74,71.24,70.78,1381.0
2018-09-26,70.82,70.3,70.78,70.48,66.0
2018-09-25,70.48,70.0,70.48,70.52,857.0
2018-09-24,71.5,70.52,70.52,71.76,1540.0
2018-09-21,71.92,71.6,71.76,71.46,782.0
2018-09-20,71.5,70.78,71.46,70.74,2726.0
2018-09-19,71.28,70.5,70.74,71.48,1311.0
2018-09-18,72.06,71.38,71.48,71.86,315.0
2018-09-17,72.28,71.86,71.86,72.0,1257.0
2018-09-14,72.08,71.84,72.0,71.86,2170.0
2018-09-13,72.24,71.82,71.86,71.84,650.0
2018-09-12,72.06,71.48,71.84,71.4,1596.0
2018-09-11,72.04,71.4,71.4,71.78,2443.0
2018-09-10,72.12,71.78,71.78,71.94,2279.0
2018-09-07,72.02,71.1,71.94,71.06,996.0
2018-09-06,71.06,70.54,71.06,70.92,1442.0
2018-09-05,71.2,70.46,70.92,71.36,4550.0
2018-09-04,72.54,71.08,71.36,72.26,1990.0
2018-09-03,72.4,72.0,72.26,72.12,3721.0
2018-08-31,72.12,71.48,72.12,71.78,50.0
2018-08-30,71.82,71.32,71.78,71.66,1017.0
2018-08-29,71.66,71.1,71.66,70.9,0.0
2018-08-28,71.34,70.9,70.9,71.18,1722.0
2018-08-27,71.34,71.16,71.18,71.16,1357.0
2018-08-24,71.54,71.16,71.16,71.7,1344.0
2018-08-23,71.72,71.3,71.7,71.22,267.0
2018-08-22,71.66,71.22,71.22,72.04,390.0
2018-08-21,72.12,71.66,72.04,71.86,742.0
2018-08-20,72.06,71.74,71.86,71.64,1723.0
2018-08-17,71.64,71.38,71.64,71.62,1101.0
2018-08-16,71.9,71.44,71.62,71.7,5647.0
2018-08-15,72.0,71.5,71.7,71.58,3395.0
2018-08-14,71.88,71.0,71.58,71.06,3789.0
2018-08-13,71.2,70.9,71.06,71.0,2615.0
2018-08-10,71.5,71.0,71.0,71.5,1017.0
2018-08-09,71.5,70.7,71.5,70.96,2957.0
2018-08-08,70.98,70.66,70.96,71.04,697.0
2018-08-07,71.04,70.68,71.04,70.7,3993.0
2018-08-06,71.12,70.5,70.7,70.74,1931.0
2018-08-03,70.74,70.0,70.74,70.14,1064.0
2018-08-02,70.5,69.4,70.14,69.36,2679.0
2018-08-01,69.64,69.36,69.36,69.82,380.0
2018-07-31,70.18,69.82,69.82,70.14,785.0
2018-07-30,70.14,69.9,70.14,69.88,1374.0
2018-07-27,70.46,69.88,69.88,70.32,1827.0
2018-07-26,70.58,69.3,70.32,68.8,16116.0
2018-07-25,68.96,68.74,68.8,69.08,409.0
2018-07-24,69.38,68.88,69.08,69.58,1122.0
2018-07-23,69.72,69.04,69.58,69.3,9170.0
2018-07-20,69.32,68.54,69.3,68.8,1298.0
2018-07-19,69.16,68.22,68.8,68.44,6046.0
2018-07-18,68.54,67.68,68.44,67.7,2540.0
2018-07-17,68.04,67.62,67.7,68.2,1150.0
2018-07-16,68.3,67.88,68.2,67.96,1185.0
2018-07-13,68.42,67.96,67.96,68.0,2203.0
2018-07-12,68.56,68.0,68.0,68.22,2805.0
2018-07-11,68.26,67.7,68.22,68.32,1541.0
2018-07-10,68.44,68.08,68.32,68.4,1376.0
2018-07-09,68.76,68.36,68.4,68.7,1645.0
2018-07-06,68.7,68.26,68.7,68.02,798.0
2018-07-05,68.52,67.94,68.02,68.44,2035.0
2018-07-04,68.58,68.18,68.44,68.22,1218.0
2018-07-03,68.3,66.9,68.22,67.12,1820.0
2018-07-02,67.2,65.8,67.12,66.12,3008.0
2018-06-29,66.22,65.7,66.12,65.92,1416.0
2018-06-28,66.12,65.42,65.92,65.7,1474.0
2018-06-27,65.7,64.8,65.7,64.96,4470.0
2018-06-26,64.98,64.78,64.96,64.72,1800.0
2018-06-25,65.1,64.7,64.72,64.5,1228.0
2018-06-22,64.5,63.82,64.5,64.26,300.0
2018-06-21,65.06,64.26,64.26,64.66,3145.0
2018-06-20,64.76,64.16,64.66,64.12,2721.0
2018-06-19,64.28,63.48,64.12,63.72,627.0
2018-06-18,64.3,63.54,63.72,64.46,528.0
2018-06-15,64.7,64.28,64.46,64.34,675.0
2018-06-14,64.34,63.26,64.34,64.5,865.0
2018-06-13,64.5,64.2,64.5,64.1,482.0
2018-06-12,64.5,64.0,64.1,64.16,3055.0
2018-06-11,64.16,63.36,64.16,63.18,1470.0
2018-06-08,63.66,63.18,63.18,63.14,228.0
2018-06-07,63.9,63.14,63.14,63.72,3.0
2018-06-06,64.7,63.2,63.72,64.94,5424.0
2018-06-05,65.38,64.86,64.94,65.18,285.0
2018-06-04,65.5,65.1,65.18,65.38,1330.0
2018-06-01,65.38,64.6,65.38,64.94,670.0
2018-05-31,65.58,64.94,64.94,65.86,307.0
2018-05-30,66.24,65.74,65.86,66.3,1498.0
2018-05-29,66.84,66.1,66.3,66.54,4161.0
2018-05-28,66.54,65.5,66.54,66.1,2032.0
2018-05-25,66.1,65.4,66.1,65.3,3535.0
2018-05-24,65.4,64.78,65.3,64.94,410.0
2018-05-23,65.3,64.86,64.94,65.06,1200.0
2018-05-22,66.06,65.0,65.06,65.5,3086.0
2018-05-18,65.8,65.1,65.5,65.16,2759.0
2018-05-17,65.2,64.82,65.16,65.16,10328.0
2018-05-16,65.32,64.58,65.16,64.68,1255.0
2018-05-15,64.86,64.58,64.68,64.76,929.0
2018-05-14,64.98,64.7,64.76,64.96,4385.0
2018-05-11,65.16,64.8,64.96,64.84,3749.0
2018-05-10,65.44,64.72,64.84,65.14,1001.0
2018-05-09,65.14,64.5,65.14,64.74,1335.0
2018-05-08,65.04,64.48,64.74,64.56,2175.0
2018-05-07,64.98,63.8,64.56,63.74,1293.0
2018-05-04,63.82,63.4,63.74,63.68,2210.0
2018-05-03,63.8,63.5,63.68,63.96,1291.0
2018-05-02,64.0,63.64,63.96,64.18,1844.0
2018-04-30,64.46,63.9,64.18,64.04,3130.0
2018-04-27,64.14,63.68,64.04,64.16,986.0
2018-04-26,64.16,62.8,64.16,62.92,1463.0
2018-04-25,62.92,62.5,62.92,62.78,3394.0
2018-04-24,63.48,62.7,62.78,62.82,1824.0
2018-04-23,62.9,62.38,62.82,62.7,3829.0
2018-04-20,62.8,62.38,62.7,62.6,1874.0
2018-04-19,63.3,62.6,62.6,62.68,3634.0
2018-04-18,63.6,62.68,62.68,63.26,757.0
2018-04-17,63.26,62.62,63.26,62.82,1000.0
2018-04-16,63.02,62.6,62.82,64.68,4979.0
2018-04-13,64.68,64.18,64.68,64.46,2446.0
2018-04-12,64.58,64.0,64.46,64.68,2085.0
2018-04-11,64.84,64.48,64.68,64.88,450.0
2018-04-10,65.0,64.42,64.88,64.86,1078.0
2018-04-09,64.94,64.36,64.86,64.24,272.0
2018-04-06,64.62,63.8,64.24,64.14,1302.0
2018-04-05,64.4,63.28,64.14,63.36,3108.0
2018-04-04,63.44,62.7,63.36,63.3,909.0
2018-04-03,64.6,63.02,63.3,64.54,1185.0
2018-03-29,64.54,63.72,64.54,64.38,5679.0
2018-03-28,64.38,62.5,64.38,62.4,1556.0
2018-03-27,63.1,62.4,62.4,62.7,3019.0
2018-03-26,63.2,62.3,62.7,62.42,4529.0
2018-03-23,63.5,62.42,62.42,63.34,5769.0
2018-03-22,64.26,63.34,63.34,64.0,8139.0
2018-03-21,64.84,64.0,64.0,64.5,4014.0
2018-03-20,64.86,64.3,64.5,64.62,2349.0
2018-03-19,65.6,64.54,64.62,65.9,1485.0
2018-03-16,65.9,65.2,65.9,65.42,2708.0
2018-03-15,65.54,65.08,65.42,65.04,1429.0
2018-03-14,65.54,64.8,65.04,64.98,1834.0
2018-03-13,65.58,64.98,64.98,65.5,2457.0
2018-03-12,65.56,65.28,65.5,65.4,2898.0
2018-03-09,65.4,64.48,65.4,64.22,318.0
2018-03-08,64.22,63.5,64.22,63.44,297.0
2018-03-07,64.28,63.44,63.44,64.34,3193.0
2018-03-06,65.3,64.22,64.34,64.64,2244.0
2018-03-05,64.92,63.76,64.64,63.8,4758.0
2018-03-02,64.66,63.66,63.8,63.52,8575.0
2018-03-01,65.54,63.52,63.52,65.18,4838.0
2018-02-28,65.96,65.18,65.18,66.08,9966.0
2018-02-27,66.3,65.88,66.08,66.5,1270.0
2018-02-26,66.5,65.8,66.5,66.08,2409.0
2018-02-23,66.08,65.4,66.08,65.32,3402.0
2018-02-22,65.7,64.52,65.32,64.8,1805.0
2018-02-21,65.0,64.7,64.8,65.08,7032.0
2018-02-20,65.14,64.54,65.08,64.62,7720.0
2018-02-19,66.0,64.5,64.62,65.5,9494.0
2018-02-16,65.98,65.5,65.5,65.92,4847.0
2018-02-15,66.0,65.0,65.92,66.78,6794.0
2018-02-14,66.96,66.2,66.78,66.2,5465.0
2018-02-13,67.1,66.12,66.2,67.16,2360.0
2018-02-12,67.2,66.4,67.16,66.48,2443.0
2018-02-09,66.62,65.96,66.48,66.86,7116.0
2018-02-08,67.16,66.58,66.86,67.26,2092.0
2018-02-07,67.54,66.72,67.26,66.58,5348.0
2018-02-06,67.56,64.6,66.58,67.0,9295.0
2018-02-05,68.22,66.4,67.0,68.66,15699.0
2018-02-02,69.4,68.5,68.66,69.56,3387.0
2018-02-01,70.18,69.48,69.56,69.58,2496.0
2018-01-31,70.0,69.16,69.58,69.48,2799.0
2018-01-30,69.7,69.2,69.48,69.4,1672.0
2018-01-29,70.0,69.4,69.4,69.68,3849.0
2018-01-26,69.78,69.2,69.68,69.38,2099.0
2018-01-25,70.24,69.26,69.38,70.24,5098.0
2018-01-24,71.0,70.24,70.24,70.5,2528.0
2018-01-23,70.8,70.1,70.5,70.06,1280.0
2018-01-22,70.16,69.98,70.06,69.84,2459.0
2018-01-19,70.42,69.8,69.84,70.4,922.0
2018-01-18,70.72,70.3,70.4,70.46,3410.0
2018-01-17,70.62,70.16,70.46,70.38,3171.0
2018-01-16,70.7,70.18,70.38,70.34,2935.0
2018-01-15,70.4,69.78,70.34,70.0,2491.0
2018-01-12,70.2,69.76,70.0,70.38,5190.0
2018-01-11,71.02,70.18,70.38,71.06,3640.0
2018-01-10,72.06,70.88,71.06,72.02,3968.0
2018-01-09,72.26,71.44,72.02,71.68,3985.0
2018-01-08,71.68,71.14,71.68,71.16,4566.0
2018-01-05,71.26,70.8,71.16,70.8,3999.0
2018-01-04,70.98,70.5,70.8,70.92,3973.0
2018-01-03,71.36,70.56,70.92,71.349,2993.0
2018-01-02,72.0,71.22,71.349,71.626,3235.0
2017-12-29,71.754,71.461,71.626,71.65,2550.0
2017-12-28,72.005,71.4,71.65,71.308,1225.0
2017-12-27,71.777,71.308,71.308,71.555,3442.0
2017-12-22,71.725,71.038,71.555,71.212,1050.0
2017-12-21,71.245,70.48,71.212,70.719,1300.0
2017-12-20,71.674,70.52,70.719,71.42,3084.0
2017-12-19,72.75,71.42,71.42,72.33,2140.0
2017-12-18,72.8,72.225,72.33,72.476,2943.0
2017-12-15,73.044,71.998,72.476,72.937,2203.0
2017-12-14,73.4,72.86,72.937,73.647,4150.0
2017-12-13,73.672,72.874,73.647,73.41,2818.0
2017-12-12,73.6,72.706,73.41,72.848,8699.0
2017-12-11,73.307,72.743,72.848,72.961,2631.0
2017-12-08,73.55,72.913,72.961,73.119,4558.0
2017-12-07,73.74,73.119,73.119,73.48,1524.0
2017-12-06,73.703,72.008,73.48,72.767,2784.0
2017-12-05,72.864,72.35,72.767,72.29,3812.0
2017-12-04,72.89,72.15,72.29,72.394,5114.0
2017-12-01,72.535,71.491,72.394,71.94,2347.0
2017-11-29,73.7,72.824,72.824,73.955,2099.0
2017-11-28,73.955,72.65,73.955,72.87,2304.0
2017-11-27,73.127,72.585,72.87,73.256,2346.0
2017-11-24,73.355,72.812,73.256,72.948,1450.0
2017-11-23,72.948,72.4,72.948,72.697,1719.0
2017-11-22,73.2,72.616,72.697,72.931,5617.0
2017-11-21,73.47,72.391,72.931,72.76,3069.0
2017-11-20,72.765,72.094,72.76,72.2,2394.0
2017-11-17,72.2,71.556,72.2,71.89,922.0
2017-11-16,72.043,71.68,71.89,71.63,1617.0
2017-11-15,71.95,71.438,71.63,71.737,1789.0
2017-11-14,72.6,71.737,71.737,72.743,10283.0
2017-11-13,72.867,72.0,72.743,72.1,2421.0
2017-11-10,72.3,71.911,72.1,72.02,2570.0
2017-11-09,72.75,71.82,72.02,72.879,4108.0
2017-11-08,72.886,71.884,72.879,72.14,2523.0
2017-11-07,73.35,72.0,72.14,72.884,6970.0
2017-11-06,73.087,72.62,72.884,73.008,3211.0
2017-11-03,73.008,71.98,73.008,72.081,1676.0
2017-11-02,72.18,71.377,72.081,71.809,4812.0
2017-11-01,72.402,71.809,71.809,71.518,1628.0
2017-10-30,71.65,70.71,71.518,71.429,3170.0
2017-10-27,72.305,70.867,71.429,71.445,3471.0
2017-10-26,71.448,69.926,71.445,70.027,5924.0
2017-10-25,71.15,69.6,70.027,71.32,3209.0
2017-10-24,71.713,71.221,71.32,71.964,2384.0
2017-10-20,73.0,71.957,71.964,72.637,4535.0
2017-10-19,73.048,72.535,72.637,73.407,3461.0
2017-10-18,73.49,72.597,73.407,72.916,5399.0
2017-10-17,73.439,72.82,72.916,73.29,1571.0
2017-10-16,73.756,73.273,73.29,73.505,1309.0
2017-10-13,73.61,72.9,73.505,72.96,4811.0
2017-10-12,73.047,72.439,72.96,72.618,3860.0
2017-10-11,72.723,72.471,72.618,72.785,2432.0
