Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,55.0,53.5,54.0,54.0,0.0
2018-10-29,54.5,54.0,54.0,54.0,0.0
2018-10-26,54.0,52.5,54.0,54.0,0.0
2018-10-25,54.5,53.5,54.0,55.0,0.0
2018-10-24,55.0,53.5,55.0,54.5,0.0
2018-10-23,55.5,54.5,54.5,56.0,0.0
2018-10-22,57.0,56.0,56.0,56.5,0.0
2018-10-19,57.0,55.5,56.5,56.5,188.0
2018-10-18,56.5,55.5,56.5,56.5,0.0
2018-10-17,57.0,55.5,56.5,56.5,50.0
2018-10-16,56.5,55.5,56.5,56.0,0.0
2018-10-15,56.5,55.0,56.0,56.5,0.0
2018-10-12,56.5,55.5,56.5,56.5,0.0
2018-10-11,58.5,56.0,56.5,58.5,0.0
2018-10-10,59.5,58.0,58.5,59.0,0.0
2018-10-09,59.0,57.0,59.0,58.0,0.0
2018-10-08,58.5,58.0,58.0,59.0,0.0
2018-10-05,59.0,59.0,59.0,60.0,0.0
2018-10-04,60.0,59.5,60.0,59.0,0.0
2018-10-02,59.5,58.5,59.0,59.0,0.0
2018-10-01,59.5,59.0,59.0,58.5,5.0
2018-09-28,58.5,57.5,58.5,58.5,0.0
2018-09-27,59.0,57.5,58.5,58.5,0.0
2018-09-26,59.0,58.0,58.5,59.0,0.0
2018-09-25,59.0,56.5,59.0,57.5,0.0
2018-09-24,58.0,56.0,57.5,55.5,0.0
2018-09-21,55.5,55.5,55.5,56.5,0.0
2018-09-20,56.5,55.5,56.5,55.0,0.0
2018-09-19,55.0,55.0,55.0,54.5,0.0
2018-09-18,54.5,54.5,54.5,55.0,0.0
2018-09-17,55.0,54.0,55.0,55.0,0.0
2018-09-14,55.0,54.0,55.0,54.5,0.0
2018-09-13,54.5,54.5,54.5,54.0,0.0
2018-09-12,54.0,54.0,54.0,53.0,0.0
2018-09-11,53.0,53.0,53.0,53.5,0.0
2018-09-10,53.5,53.5,53.5,54.0,0.0
2018-09-07,54.0,53.5,54.0,55.0,0.0
2018-09-06,55.0,54.5,55.0,55.5,0.0
2018-09-05,55.5,55.0,55.5,56.0,0.0
2018-09-04,56.0,54.5,56.0,54.5,0.0
2018-09-03,54.5,54.5,54.5,56.5,0.0
2018-08-31,56.5,55.5,56.5,56.5,10.0
2018-08-30,56.5,55.0,56.5,56.0,0.0
2018-08-29,56.0,55.0,56.0,56.0,0.0
2018-08-28,56.5,55.5,56.0,56.5,0.0
2018-08-27,56.5,55.5,56.5,56.5,0.0
2018-08-24,56.5,55.0,56.5,56.0,0.0
2018-08-23,56.5,55.0,56.0,55.5,0.0
2018-08-22,56.0,54.5,55.5,55.5,0.0
2018-08-21,55.5,54.5,55.5,56.0,0.0
2018-08-20,56.0,54.0,56.0,54.5,70.0
2018-08-17,55.0,54.0,54.5,55.0,0.0
2018-08-16,55.0,53.5,55.0,54.0,0.0
2018-08-15,55.5,54.0,54.0,56.0,0.0
2018-08-14,56.0,55.0,56.0,56.5,0.0
2018-08-13,56.5,55.5,56.5,56.0,0.0
2018-08-10,56.5,55.5,56.0,57.0,0.0
2018-08-09,57.0,56.5,57.0,58.0,0.0
2018-08-08,58.0,56.5,58.0,58.0,0.0
2018-08-07,58.0,56.0,58.0,57.0,0.0
2018-08-06,57.0,56.0,57.0,56.5,0.0
2018-08-03,57.0,55.5,56.5,56.5,20.0
2018-08-02,57.0,56.5,56.5,57.5,0.0
2018-08-01,57.5,57.5,57.5,58.5,0.0
2018-07-31,58.5,57.0,58.5,58.0,0.0
2018-07-30,59.0,57.5,58.0,58.0,20.0
2018-07-27,58.5,57.0,58.0,57.5,0.0
2018-07-26,59.0,57.5,57.5,59.0,0.0
2018-07-25,60.0,58.5,59.0,59.5,10.0
2018-07-24,59.5,58.0,59.5,59.0,0.0
2018-07-23,59.5,58.0,59.0,59.0,0.0
2018-07-20,59.5,58.5,59.0,59.5,0.0
2018-07-19,59.5,57.5,59.5,58.5,0.0
2018-07-18,59.0,57.5,58.5,58.0,0.0
2018-07-17,58.5,57.5,58.0,58.0,0.0
2018-07-16,59.5,58.0,58.0,59.5,0.0
2018-07-13,59.5,58.0,59.5,59.5,0.0
2018-07-12,59.5,58.5,59.5,59.5,0.0
2018-07-11,59.5,59.0,59.5,60.5,0.0
2018-07-10,60.5,58.5,60.5,59.5,0.0
