Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,51.52,50.93,51.31,51.61,0.0
2018-10-29,52.26,50.7,51.61,50.8,55.0
2018-10-26,51.33,50.8,50.8,51.03,101.0
2018-10-25,51.19,50.96,51.03,51.77,20.0
2018-10-24,51.77,51.03,51.77,51.11,310.0
2018-10-23,51.13,50.7,51.11,51.33,0.0
2018-10-22,51.52,50.66,51.33,50.97,145.0
2018-10-19,51.39,50.66,50.97,50.85,81.0
2018-10-18,51.64,50.69,50.85,51.28,0.0
2018-10-17,51.28,49.88,51.28,49.85,65.0
2018-10-16,49.85,48.87,49.85,49.32,500.0
2018-10-15,49.32,48.53,49.32,48.38,31.0
2018-10-12,48.44,47.69,48.38,47.48,727.0
2018-10-11,48.48,47.48,47.48,49.26,145.0
2018-10-10,50.35,49.26,49.26,50.36,145.0
2018-10-09,51.06,49.13,50.36,48.97,540.0
2018-10-08,48.97,48.45,48.97,48.31,20.0
2018-10-05,48.54,48.22,48.31,48.55,511.0
2018-10-04,48.55,47.99,48.55,48.39,0.0
2018-10-02,48.39,47.83,48.39,48.05,60.0
2018-10-01,49.25,48.05,48.05,48.93,20.0
2018-09-28,49.23,48.93,48.93,49.16,0.0
2018-09-27,49.31,48.74,49.16,49.19,0.0
2018-09-26,49.19,48.33,49.19,48.54,1235.0
2018-09-25,48.59,48.2,48.54,48.36,270.0
2018-09-24,48.68,48.13,48.36,48.58,110.0
2018-09-21,48.63,47.82,48.58,47.8,0.0
2018-09-20,47.8,47.34,47.8,47.45,10.0
2018-09-19,47.6,46.98,47.45,47.04,64.0
2018-09-18,47.04,46.48,47.04,46.57,20.0
2018-09-17,46.87,46.5,46.57,47.0,0.0
2018-09-14,47.06,46.89,47.0,46.79,640.0
2018-09-13,47.3,46.79,46.79,47.17,0.0
2018-09-12,47.55,46.88,47.17,47.28,0.0
2018-09-11,47.31,47.28,47.28,47.24,0.0
2018-09-10,47.56,47.09,47.24,47.38,233.0
2018-09-07,47.38,46.44,47.38,46.58,172.0
2018-09-06,46.64,46.07,46.58,46.16,85.0
