Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,71.5,70.6,71.5,71.1,17.0
2018-10-29,71.15,70.2,71.1,69.9,0.0
2018-10-26,70.2,69.15,69.9,69.55,0.0
2018-10-25,69.85,69.05,69.55,69.95,0.0
2018-10-24,70.15,69.8,69.95,69.55,0.0
2018-10-23,70.1,69.45,69.55,69.95,500.0
2018-10-22,70.1,69.95,69.95,70.25,0.0
2018-10-19,70.6,70.15,70.25,70.4,0.0
2018-10-18,70.45,69.6,70.4,69.5,0.0
2018-10-17,69.9,69.5,69.5,69.15,100.0
2018-10-16,69.15,67.5,69.15,67.75,0.0
2018-10-15,68.0,67.7,67.75,68.5,0.0
2018-10-12,69.05,68.3,68.5,68.85,0.0
2018-10-11,69.3,68.7,68.85,69.6,0.0
2018-10-10,71.0,69.4,69.6,70.6,0.0
2018-10-09,70.7,69.8,70.6,70.1,141.0
2018-10-08,70.3,70.1,70.1,70.1,0.0
2018-10-05,70.9,69.7,70.1,71.5,0.0
2018-10-04,72.6,71.5,71.5,72.8,0.0
2018-10-02,73.4,72.8,72.8,73.25,200.0
2018-10-01,73.3,72.6,73.25,73.3,0.0
2018-09-28,73.35,72.45,73.3,73.15,0.0
2018-09-27,73.4,72.8,73.15,73.25,0.0
2018-09-26,73.7,73.15,73.25,73.2,0.0
2018-09-25,73.25,72.55,73.2,73.1,0.0
2018-09-24,74.2,72.7,73.1,73.45,200.0
2018-09-21,73.5,72.1,73.45,72.7,0.0
2018-09-20,72.7,72.0,72.7,72.5,0.0
2018-09-19,73.55,72.5,72.5,73.8,0.0
2018-09-18,74.7,73.8,73.8,74.8733,0.0
2018-09-17,76.25,75.4,75.45,75.9,0.0
2018-09-14,75.9,75.9,75.9,76.7,0.0
2018-09-13,76.85,76.0,76.7,77.65,0.0
2018-09-12,77.65,75.25,77.65,77.45,610.0
2018-09-11,77.45,76.9,77.45,77.55,0.0
2018-09-10,77.55,77.55,77.55,77.95,0.0
2018-09-07,77.95,77.1,77.95,77.55,0.0
2018-09-06,77.75,76.9,77.55,77.65,0.0
2018-09-05,77.9,77.25,77.65,78.0,500.0
2018-09-04,78.35,77.95,78.0,78.35,25.0
2018-09-03,78.7,78.0,78.35,78.6,0.0
2018-08-31,78.7,77.7,78.6,78.2,1300.0
2018-08-30,78.2,77.5,78.2,77.95,0.0
2018-08-29,78.15,76.75,77.95,77.35,0.0
2018-08-28,77.35,76.4,77.35,76.95,0.0
2018-08-27,77.05,76.7,76.95,76.35,0.0
2018-08-24,77.7,76.35,76.35,76.85,0.0
2018-08-23,77.0,76.15,76.85,76.7,0.0
2018-08-22,76.7,75.8,76.7,76.8,0.0
2018-08-21,76.85,75.7,76.8,76.35,0.0
2018-08-20,76.7,76.15,76.35,76.35,0.0
2018-08-17,76.45,75.55,76.35,75.95,0.0
2018-08-16,76.5,75.95,75.95,76.3,0.0
2018-08-15,76.3,75.85,76.3,76.25,0.0
2018-08-14,76.7,76.1,76.25,76.55,410.0
2018-08-13,77.25,76.45,76.55,77.55,0.0
2018-08-10,77.7,76.95,77.55,77.1,0.0
2018-08-09,78.15,76.95,77.1,77.95,800.0
2018-08-08,78.5,77.85,77.95,78.5,300.0
2018-08-07,78.5,78.5,78.5,78.7,0.0
2018-08-06,78.7,78.6,78.7,78.75,0.0
2018-08-03,78.8,78.45,78.75,78.6,0.0
2018-08-02,79.25,77.45,78.6,77.75,800.0
2018-08-01,77.75,77.7,77.75,78.3,0.0
2018-07-31,78.35,77.5,78.3,77.9,0.0
2018-07-30,78.0,77.25,77.9,77.55,0.0
2018-07-27,77.55,77.55,77.55,78.1,0.0
2018-07-26,78.1,77.1,78.1,77.4,0.0
2018-07-25,77.4,76.6,77.4,77.6,0.0
2018-07-24,77.6,76.7,77.6,76.8,200.0
2018-07-23,76.8,76.8,76.8,77.05,0.0
2018-07-20,77.05,77.05,77.05,77.55,0.0
2018-07-19,77.55,77.05,77.55,77.65,0.0
2018-07-18,77.9,76.95,77.65,76.55,0.0
2018-07-17,76.55,76.55,76.55,76.35,0.0
2018-07-16,76.35,76.35,76.35,76.35,0.0
2018-07-13,76.35,76.35,76.35,76.85,0.0
2018-07-12,76.85,76.4,76.85,76.8,0.0
2018-07-11,77.05,76.3,76.8,77.25,0.0
2018-07-10,77.25,76.65,77.25,77.2,200.0
2018-07-09,77.2,77.05,77.2,77.35,0.0
2018-07-06,77.4,77.0,77.35,77.45,0.0
2018-07-05,77.85,77.35,77.45,78.0,200.0
2018-07-04,78.05,77.85,78.0,78.0,0.0
2018-07-03,78.3,77.85,78.0,77.9,0.0
2018-07-02,78.6,77.9,77.9,78.5,200.0
2018-06-29,78.65,78.1,78.5,78.15,0.0
2018-06-28,78.55,78.1,78.15,78.6,155.0
2018-06-27,78.7,78.1,78.6,78.2,0.0
2018-06-26,78.45,77.85,78.2,78.4,0.0
2018-06-25,78.9,78.2,78.4,78.7,0.0
2018-06-22,78.7,77.95,78.7,78.45,0.0
2018-06-21,78.75,77.9,78.45,78.15,0.0
2018-06-20,78.55,77.9,78.15,78.45,0.0
2018-06-19,79.05,78.25,78.45,78.35,0.0
2018-06-18,79.35,78.35,78.35,79.6,500.0
2018-06-15,79.95,79.25,79.6,79.4,0.0
2018-06-14,79.4,78.05,79.4,79.15,0.0
2018-06-13,79.25,78.5,79.15,79.05,0.0
2018-06-12,79.05,78.3,79.05,78.05,0.0
2018-06-11,78.05,78.05,78.05,78.25,0.0
2018-06-08,79.15,77.85,78.25,78.55,0.0
2018-06-07,79.1,78.4,78.55,78.8,0.0
2018-06-06,79.3,78.8,78.8,79.85,0.0
2018-06-05,79.85,79.25,79.85,80.2,0.0
2018-06-04,80.2,78.8,80.2,79.45,0.0
2018-06-01,79.45,79.2,79.45,79.85,0.0
2018-05-31,79.85,78.9,79.85,79.55,0.0
2018-05-30,80.05,78.95,79.55,79.5,200.0
2018-05-29,79.65,79.0,79.5,79.65,0.0
2018-05-28,79.9,79.2,79.65,80.1,0.0
2018-05-25,80.1,78.75,80.1,79.25,0.0
2018-05-24,79.5,78.1,79.25,78.7,0.0
2018-05-23,79.0,77.9,78.7,79.65,0.0
2018-05-22,79.65,78.3,79.65,78.7,100.0
2018-05-18,78.7,77.5,78.7,77.95,0.0
2018-05-17,78.1,77.55,77.95,77.85,0.0
2018-05-16,78.65,77.85,77.85,78.1,0.0
2018-05-15,78.25,77.65,78.1,78.3,0.0
2018-05-14,78.3,77.8,78.3,78.1,0.0
2018-05-11,78.1,78.1,78.1,78.1,0.0
2018-05-10,78.1,77.85,78.1,78.4,0.0
2018-05-09,78.6,78.0,78.4,78.45,0.0
2018-05-08,78.5,77.35,78.45,77.95,0.0
2018-05-07,78.1,77.2,77.95,77.7,0.0
2018-05-04,78.05,77.35,77.7,77.5,0.0
2018-05-03,77.5,76.6,77.5,77.2,0.0
2018-05-02,77.45,76.75,77.2,77.6,0.0
2018-04-30,77.6,76.45,77.6,77.3,0.0
2018-04-27,77.3,76.0,77.3,76.4,0.0
2018-04-26,76.4,75.45,76.4,75.85,0.0
2018-04-25,76.35,75.45,75.85,75.9,0.0
2018-04-24,76.95,75.9,75.9,77.05,0.0
2018-04-23,77.05,76.15,77.05,76.75,0.0
2018-04-20,76.75,76.25,76.75,76.95,0.0
2018-04-19,76.95,75.8,76.95,76.2,0.0
2018-04-18,76.2,75.25,76.2,75.9,0.0
2018-04-17,75.9,75.0,75.9,75.9,0.0
2018-04-16,76.05,75.3,75.9,75.85,0.0
2018-04-13,76.05,75.0,75.85,75.65,0.0
2018-04-12,75.7,75.45,75.65,76.05,0.0
2018-04-11,76.4,75.85,76.05,76.3,0.0
2018-04-10,76.75,76.0,76.3,76.65,0.0
2018-04-09,76.7,75.85,76.65,76.4,500.0
2018-04-06,76.4,75.85,76.4,76.0,0.0
2018-04-05,76.0,75.25,76.0,75.65,0.0
2018-04-04,76.15,74.2,75.65,74.85,0.0
2018-04-03,74.9,74.5,74.85,78.2,0.0
2018-03-29,78.2,77.1,78.2,77.1,0.0
2018-03-28,77.1,76.15,77.1,76.35,0.0
2018-03-27,76.45,75.35,76.35,76.3,0.0
2018-03-26,77.7,76.05,76.3,76.9,1.0
2018-03-23,77.25,76.8,76.9,77.4,200.0
2018-03-22,77.65,77.15,77.4,77.45,200.0
2018-03-21,77.55,77.15,77.45,77.15,0.0
2018-03-20,77.15,77.15,77.15,77.45,0.0
2018-03-19,77.45,77.15,77.45,77.4,0.0
2018-03-16,77.65,77.15,77.4,77.55,0.0
2018-03-15,77.55,77.15,77.55,77.2,0.0
2018-03-14,77.3,76.45,77.2,77.75,0.0
2018-03-13,77.75,77.7,77.75,77.75,0.0
2018-03-12,78.05,77.7,77.75,78.15,0.0
2018-03-09,78.15,77.35,78.15,77.4,0.0
2018-03-08,77.4,76.3,77.4,77.0,0.0
2018-03-07,77.0,76.45,77.0,76.65,0.0
2018-03-06,76.8,76.2,76.65,76.75,0.0
2018-03-05,76.75,75.8,76.75,74.85,120.0
2018-03-02,74.85,74.2,74.85,74.85,0.0
2018-03-01,75.85,74.85,74.85,75.55,0.0
2018-02-28,76.6,75.55,75.55,76.85,0.0
2018-02-27,76.9,76.25,76.85,76.85,0.0
2018-02-26,77.1,76.4,76.85,76.95,0.0
2018-02-23,76.95,75.75,76.95,75.75,0.0
2018-02-22,76.25,75.15,75.75,75.9,0.0
2018-02-21,75.9,75.3,75.9,76.05,0.0
2018-02-20,76.05,75.0,76.05,75.9,0.0
2018-02-19,76.35,75.9,75.9,76.45,0.0
2018-02-16,76.45,74.75,76.45,75.2,0.0
2018-02-15,75.2,74.45,75.2,75.25,0.0
2018-02-14,75.65,74.35,75.25,74.95,0.0
2018-02-13,75.45,74.8,74.95,74.95,0.0
2018-02-12,74.95,73.4,74.95,74.7,0.0
2018-02-09,74.7,74.4,74.7,75.15,0.0
2018-02-08,75.5,75.15,75.15,75.6,0.0
2018-02-07,75.6,73.45,75.6,74.6,30.0
2018-02-06,75.6,73.0,74.6,75.9,55.0
2018-02-05,76.75,75.9,75.9,77.5,0.0
2018-02-02,77.65,77.05,77.5,77.9,300.0
2018-02-01,78.1,77.0,77.9,77.0,700.0
2018-01-31,77.15,76.1,77.0,77.0,0.0
2018-01-30,77.2,76.55,77.0,77.2,0.0
2018-01-29,77.3,77.0,77.2,77.8,0.0
2018-01-26,77.8,76.2,77.8,76.7,0.0
2018-01-25,76.8,76.1,76.7,76.8,0.0
2018-01-24,76.8,75.9,76.8,76.4,0.0
2018-01-23,76.6,75.2,76.4,75.2,0.0
2018-01-22,76.1,75.2,75.2,75.2,0.0
2018-01-19,76.5,75.2,75.2,76.0,60.0
2018-01-18,76.0,75.4,76.0,75.4,0.0
2018-01-17,76.0,75.2,75.4,75.8,0.0
2018-01-16,75.8,74.9,75.8,75.2,0.0
2018-01-15,75.5,74.7,75.2,75.8,0.0
2018-01-12,75.8,75.0,75.8,75.6,0.0
2018-01-11,76.5,75.6,75.6,76.6,0.0
2018-01-10,77.0,76.4,76.6,76.9,0.0
2018-01-09,77.1,76.6,76.9,77.4,200.0
2018-01-08,77.5,76.2,77.4,76.6,0.0
2018-01-05,76.6,75.4,76.6,75.9,0.0
2018-01-04,76.3,75.8,75.9,76.6,200.0
2018-01-03,76.9,75.9,76.6,75.932,26.0
2018-01-02,75.997,75.932,75.932,75.946,0.0
2017-12-29,76.025,75.613,75.946,76.145,0.0
2017-12-28,76.81,75.202,76.145,75.019,300.0
2017-12-27,75.114,74.332,75.019,75.79,0.0
2017-12-22,75.79,74.463,75.79,74.618,10.0
2017-12-21,74.618,74.618,74.618,75.122,0.0
2017-12-20,75.122,75.122,75.122,75.482,0.0
2017-12-19,75.482,75.482,75.482,74.654,0.0
2017-12-18,74.654,74.654,74.654,74.947,0.0
2017-12-15,74.993,74.46,74.947,75.12,0.0
2017-12-14,75.12,74.114,75.12,74.41,1100.0
2017-12-13,74.41,73.878,74.41,73.921,0.0
2017-12-12,73.921,73.195,73.921,73.577,0.0
2017-12-11,73.694,73.31,73.577,73.639,0.0
2017-12-08,73.639,72.65,73.639,73.111,0.0
2017-12-07,73.275,72.65,73.111,73.25,0.0
2017-12-06,73.25,72.828,73.25,72.74,0.0
2017-12-05,73.278,72.341,72.74,73.106,0.0
2017-12-04,73.106,71.921,73.106,72.427,0.0
2017-12-01,72.948,71.848,72.427,72.69,0.0
2017-11-30,72.767,71.846,72.69,72.658,0.0
2017-11-29,73.005,72.658,72.658,73.005,300.0
2017-11-28,73.135,72.9,73.005,73.047,0.0
2017-11-27,73.45,73.005,73.047,73.45,300.0
2017-11-24,73.45,73.45,73.45,73.45,0.0
2017-11-23,73.45,73.45,73.45,73.462,0.0
2017-11-22,73.701,73.45,73.462,73.525,0.0
2017-11-21,73.643,72.534,73.525,72.867,0.0
2017-11-20,73.131,72.764,72.867,73.045,0.0
2017-11-17,73.733,73.045,73.045,73.808,0.0
2017-11-16,73.948,72.592,73.808,72.505,0.0
2017-11-15,72.505,72.133,72.505,72.842,0.0
2017-11-14,72.842,72.331,72.842,72.875,0.0
2017-11-13,73.406,72.589,72.875,73.066,0.0
2017-11-10,73.75,72.987,73.066,73.707,100.0
2017-11-09,73.882,73.393,73.707,74.91,0.0
2017-11-08,74.91,73.393,74.91,74.213,2.0
2017-11-07,74.213,73.545,74.213,73.28,0.0
2017-11-06,73.28,73.28,73.28,73.808,0.0
2017-11-03,73.982,73.028,73.808,72.93,0.0
2017-11-02,72.93,72.93,72.93,73.037,0.0
2017-11-01,73.411,72.392,73.037,72.361,0.0
2017-10-30,72.361,72.361,72.361,72.82,0.0
2017-10-27,72.852,72.149,72.82,72.125,0.0
2017-10-26,72.351,71.071,72.125,71.664,0.0
2017-10-25,71.904,71.573,71.664,72.377,0.0
2017-10-24,72.928,72.377,72.377,72.919,0.0
2017-10-23,73.454,72.87,72.919,73.488,0.0
2017-10-20,74.26,73.347,73.488,74.26,200.0
2017-10-19,74.26,74.26,74.26,74.294,0.0
2017-10-18,74.613,74.26,74.294,74.457,0.0
2017-10-17,74.457,74.26,74.457,74.665,0.0
2017-10-16,74.665,74.26,74.665,74.516,0.0
2017-10-13,75.256,74.516,74.516,75.208,0.0
2017-10-12,75.208,74.293,75.208,74.891,0.0
2017-10-11,74.891,74.39,74.891,75.015,0.0
2017-10-10,75.015,74.26,75.015,74.656,0.0
2017-10-09,74.688,74.26,74.656,74.707,0.0
2017-10-06,75.366,74.707,74.707,75.475,300.0
2017-10-05,75.475,74.889,75.475,75.33,0.0
2017-10-04,76.28,75.33,75.33,74.966,700.0
2017-10-02,76.079,74.966,74.966,75.462,0.0
2017-09-29,75.462,74.583,75.462,74.59,0.0
2017-09-28,74.957,74.51,74.59,74.784,0.0
2017-09-27,75.5,74.784,74.784,75.423,233.0
2017-09-26,75.423,74.878,75.423,74.962,0.0
2017-09-25,74.962,74.51,74.962,74.51,0.0
2017-09-22,74.51,74.51,74.51,74.98,0.0
2017-09-21,74.98,74.98,74.98,75.56,200.0
2017-09-20,75.56,75.56,75.56,75.393,300.0
2017-09-19,75.393,75.056,75.393,75.318,0.0
2017-09-18,75.318,75.318,75.318,75.61,0.0
2017-09-15,75.61,75.61,75.61,75.652,0.0
2017-09-14,75.652,75.652,75.652,75.717,0.0
2017-09-13,75.717,75.717,75.717,76.397,0.0
2017-09-12,76.397,76.397,76.397,77.048,0.0
2017-09-11,77.1,76.03,77.048,76.284,500.0
2017-09-08,76.525,75.386,76.284,75.758,0.0
2017-09-07,75.758,74.51,75.758,75.005,0.0
2017-09-06,75.005,74.51,75.005,74.706,0.0
2017-09-05,75.532,74.706,74.706,75.317,0.0
2017-09-04,75.317,75.085,75.317,75.251,0.0
2017-09-01,75.714,75.114,75.251,75.477,0.0
2017-08-31,75.685,74.51,75.477,75.002,0.0
2017-08-30,75.132,74.51,75.002,74.922,0.0
2017-08-29,75.71,74.603,74.922,75.71,200.0
2017-08-28,75.71,75.71,75.71,75.71,0.0
2017-08-25,75.71,75.71,75.71,76.309,0.0
2017-08-24,76.358,75.81,76.309,76.32,0.0
2017-08-23,76.462,76.161,76.32,76.639,0.0
2017-08-22,76.92,76.104,76.639,76.517,0.0
2017-08-21,77.05,76.09,76.517,76.491,50.0
2017-08-18,76.605,76.226,76.491,76.733,0.0
2017-08-17,76.74,76.067,76.733,76.323,0.0
2017-08-16,76.645,75.71,76.323,76.299,0.0
2017-08-15,76.501,75.719,76.299,76.23,0.0
2017-08-14,76.332,74.918,76.23,75.534,0.0
2017-08-11,76.186,75.534,75.534,76.703,200.0
2017-08-10,76.937,76.584,76.703,77.461,0.0
2017-08-09,77.461,76.769,77.461,76.329,0.0
2017-08-08,76.855,76.329,76.329,76.937,0.0
2017-08-07,77.186,76.539,76.937,76.7,0.0
2017-08-04,76.905,76.144,76.7,76.104,0.0
2017-08-03,76.96,76.104,76.104,76.787,0.0
2017-08-02,77.028,75.507,76.787,75.368,0.0
2017-08-01,75.368,75.368,75.368,76.308,0.0
2017-07-31,76.794,76.134,76.308,75.967,0.0
2017-07-28,77.95,75.967,75.967,78.105,200.0
2017-07-27,78.319,77.95,78.105,78.105,0.0
2017-07-26,78.422,77.95,78.105,78.174,0.0
2017-07-25,78.86,78.174,78.174,78.901,0.0
2017-07-24,79.293,78.33,78.901,79.213,0.0
2017-07-21,79.252,78.765,79.213,78.787,0.0
2017-07-20,80.035,78.787,78.787,79.141,0.0
2017-07-19,79.94,79.141,79.141,79.817,0.0
2017-07-18,79.999,79.055,79.817,79.93,0.0
2017-07-17,80.022,79.254,79.93,79.904,0.0
2017-07-14,79.904,78.954,79.904,79.669,28.0
2017-07-13,79.858,78.668,79.669,79.438,0.0
2017-07-12,79.438,77.95,79.438,78.398,0.0
2017-07-11,79.577,78.398,78.398,79.738,0.0
2017-07-10,79.846,78.193,79.738,78.379,0.0
2017-07-07,78.57,78.094,78.379,78.369,0.0
2017-07-06,79.299,78.369,78.369,78.94,0.0
2017-07-05,79.108,78.358,78.94,78.836,0.0
2017-07-04,79.046,78.684,78.836,79.411,0.0
2017-07-03,79.792,78.922,79.411,79.636,0.0
2017-06-30,79.636,78.75,79.636,78.948,0.0
2017-06-29,79.202,78.756,78.948,78.814,0.0
2017-06-28,79.557,78.814,78.814,79.867,0.0
2017-06-27,80.638,79.867,79.867,80.783,0.0
2017-06-26,81.013,80.387,80.783,81.711,0.0
2017-06-23,81.711,79.653,81.711,79.653,250.0
2017-06-22,80.196,79.333,79.653,79.348,0.0
2017-06-21,80.347,79.348,79.348,80.974,0.0
2017-06-20,82.068,80.579,80.974,82.497,0.0
2017-06-19,83.112,82.371,82.497,82.975,0.0
2017-06-16,82.975,81.688,82.975,82.273,0.0
2017-06-15,82.273,82.273,82.273,82.22,0.0
2017-06-14,82.806,81.604,82.22,82.515,0.0
2017-06-13,82.515,81.42,82.515,82.076,0.0
2017-06-12,82.432,82.076,82.076,82.979,0.0
2017-06-09,82.979,82.021,82.979,83.07,0.0
2017-06-08,83.689,82.876,83.07,83.882,0.0
2017-06-07,83.889,82.052,83.882,82.894,0.0
2017-06-06,82.894,81.877,82.894,82.478,0.0
2017-06-02,82.478,81.395,82.478,82.014,0.0
2017-06-01,82.114,81.091,82.014,81.505,0.0
2017-05-31,81.505,80.782,81.505,81.2,0.0
2017-05-30,81.533,80.69,81.2,80.887,50.0
2017-05-29,80.887,80.887,80.887,82.041,0.0
2017-05-26,82.175,80.162,82.041,80.045,37.0
2017-05-25,80.045,80.008,80.045,80.023,0.0
2017-05-24,80.974,80.016,80.023,80.111,0.0
2017-05-23,80.939,80.082,80.111,81.666,0.0
2017-05-22,81.666,79.507,81.666,80.876,0.0
2017-05-19,80.876,79.789,80.876,79.999,0.0
2017-05-18,80.505,79.722,79.999,79.744,300.0
2017-05-17,81.6,79.744,79.744,80.505,800.0
2017-05-16,80.505,80.179,80.505,80.687,0.0
2017-05-15,80.692,80.616,80.687,80.506,0.0
2017-05-12,80.557,80.075,80.506,80.657,0.0
2017-05-11,80.759,79.754,80.657,79.791,0.0
2017-05-10,80.399,79.791,79.791,80.513,0.0
2017-05-09,80.594,79.755,80.513,80.365,0.0
2017-05-08,80.949,79.759,80.365,79.855,0.0
2017-05-05,80.446,79.855,79.855,80.479,0.0
2017-05-04,80.721,80.479,80.479,82.456,0.0
2017-05-03,82.456,80.276,82.456,80.587,85.0
2017-05-02,80.587,78.158,80.587,78.974,0.0
2017-04-28,80.238,78.974,78.974,79.944,0.0
2017-04-27,80.21,79.279,79.944,79.845,0.0
2017-04-26,80.397,79.098,79.845,80.395,10.0
2017-04-24,78.773,77.97,78.577,80.51,0.0
2017-04-21,80.51,79.309,80.51,79.809,27.0
2017-04-20,79.809,79.809,79.809,80.359,0.0
2017-04-19,80.359,79.824,80.359,80.069,0.0
2017-04-18,82.847,80.069,80.069,83.392,0.0
2017-04-13,83.675,82.407,83.392,82.984,95.0
2017-04-12,83.042,81.929,82.984,81.898,0.0
2017-04-11,82.414,81.658,81.898,81.605,0.0
2017-04-10,82.11,81.605,81.605,81.828,0.0
