Date,High,Low,Last,Previous Day Price,Volume
2018-10-30,90.38,87.98,90.38,87.94,123.0
2018-10-29,88.98,86.91,87.94,86.53,335.0
2018-10-26,87.63,86.08,86.53,86.11,0.0
2018-10-25,86.23,85.47,86.11,85.62,0.0
2018-10-24,85.62,84.97,85.62,83.94,0.0
2018-10-23,84.3,83.42,83.94,84.54,20.0
2018-10-22,84.92,84.49,84.54,84.61,0.0
2018-10-19,84.61,83.83,84.61,83.65,0.0
2018-10-18,84.38,83.65,83.65,83.56,0.0
2018-10-17,83.56,82.47,83.56,82.46,0.0
2018-10-16,82.59,80.96,82.46,81.11,40.0
2018-10-15,81.73,81.11,81.11,81.53,100.0
2018-10-12,82.11,81.53,81.53,82.41,0.0
2018-10-11,82.95,81.25,82.41,83.5,133.0
2018-10-10,84.76,83.5,83.5,84.5,0.0
2018-10-09,84.5,82.61,84.5,81.98,590.0
2018-10-08,82.11,81.12,81.98,81.35,0.0
2018-10-05,81.91,81.3,81.35,81.25,0.0
2018-10-04,81.66,81.06,81.25,82.59,40.0
2018-10-02,82.66,81.45,82.59,81.61,0.0
2018-10-01,81.61,81.15,81.61,80.73,10.0
2018-09-28,81.34,80.73,80.73,80.72,0.0
2018-09-27,81.17,80.64,80.72,80.83,0.0
2018-09-26,81.16,80.83,80.83,81.18,25.0
2018-09-25,81.46,80.77,81.18,80.81,0.0
2018-09-24,81.36,80.63,80.81,81.73,0.0
2018-09-21,81.73,81.41,81.73,81.2,25.0
2018-09-20,81.49,81.09,81.2,81.84,0.0
2018-09-19,82.08,81.47,81.84,81.62,0.0
2018-09-18,81.62,80.5,81.62,81.33,175.0
2018-09-17,81.36,80.77,81.33,81.24,0.0
2018-09-14,81.24,79.84,81.24,81.25,10.0
2018-09-13,82.49,81.25,81.25,82.99,0.0
2018-09-12,83.44,82.99,82.99,83.61,0.0
2018-09-11,83.61,83.24,83.61,83.05,60.0
2018-09-10,83.23,82.9,83.05,83.03,0.0
2018-09-07,83.04,82.65,83.03,82.96,70.0
2018-09-06,83.05,82.73,82.96,83.0,0.0
2018-09-05,83.19,82.12,83.0,82.49,0.0
2018-09-04,83.29,82.49,82.49,82.82,60.0
2018-09-03,82.96,82.46,82.82,82.18,580.0
2018-08-31,82.18,82.04,82.18,82.25,0.0
2018-08-30,82.25,81.46,82.25,82.16,0.0
2018-08-29,82.33,82.16,82.16,80.75,20.0
2018-08-28,81.05,80.75,80.75,81.82,44.0
2018-08-27,82.08,81.82,81.82,81.89,0.0
2018-08-24,82.29,81.89,81.89,82.41,0.0
2018-08-23,82.76,82.41,82.41,82.73,0.0
2018-08-22,83.16,82.21,82.73,83.08,20.0
2018-08-21,83.62,82.78,83.08,85.25,6.0
2018-08-20,85.7,85.19,85.25,87.01,30.0
2018-08-17,87.01,85.86,87.01,86.94,100.0
2018-08-16,87.95,79.5,86.94,79.53,798.0
2018-08-15,80.33,79.07,79.53,80.02,4170.0
2018-08-14,80.02,78.74,80.02,78.78,13.0
2018-08-13,79.1,78.21,78.78,79.19,66.0
2018-08-10,79.19,77.26,79.19,76.77,1270.0
2018-08-09,77.13,76.77,76.77,77.22,75.0
2018-08-08,77.46,77.22,77.22,77.75,0.0
2018-08-07,77.75,77.57,77.75,77.47,50.0
2018-08-06,77.66,77.23,77.47,77.54,0.0
2018-08-03,77.54,76.46,77.54,76.4,0.0
2018-08-02,76.4,75.4,76.4,75.96,150.0
2018-08-01,76.34,75.96,75.96,76.29,0.0
2018-07-31,76.49,75.85,76.29,75.49,0.0
2018-07-30,75.59,75.25,75.49,75.47,0.0
2018-07-27,75.95,75.47,75.47,76.03,0.0
2018-07-26,76.27,74.5,76.03,74.71,56.0
2018-07-25,75.14,74.69,74.71,75.15,0.0
2018-07-24,75.33,74.91,75.15,74.85,0.0
2018-07-23,74.99,74.6,74.85,75.01,0.0
2018-07-20,75.01,74.67,75.01,75.67,0.0
2018-07-19,75.72,75.49,75.67,75.96,65.0
2018-07-18,76.36,75.77,75.96,75.55,500.0
2018-07-17,75.9,74.61,75.55,74.61,200.0
2018-07-16,74.85,74.58,74.61,75.22,80.0
2018-07-13,75.22,74.26,75.22,74.25,0.0
2018-07-12,74.25,74.25,74.25,73.83,0.0
2018-07-11,74.25,73.23,73.83,74.04,0.0
2018-07-10,74.04,73.15,74.04,73.1,5.0
2018-07-09,73.25,71.94,73.1,71.9,2.0
2018-07-06,72.43,71.4,71.9,72.19,0.0
2018-07-05,72.42,72.19,72.19,72.5,0.0
2018-07-04,72.5,72.22,72.5,72.57,80.0
2018-07-03,72.86,72.1,72.57,71.89,0.0
